symbol,timestamp,datetime,side,price,amount,btc_volume
ATM/BTC,1631116817174,2021-09-08T16:00:17.174Z,buy,0.0003194,6.2,0.00198028
ATM/BTC,1631116817229,2021-09-08T16:00:17.229Z,buy,0.0003195,4.0,0.001278
ATM/BTC,1631116836676,2021-09-08T16:00:36.676Z,buy,0.0003196,20.0,0.006392
ATM/BTC,1631117072256,2021-09-08T16:04:32.256Z,buy,0.0003199,0.53,0.000169547
ATM/BTC,1631117431761,2021-09-08T16:10:31.761Z,buy,0.0003199,0.32,0.000102368
ATM/BTC,1631117431761,2021-09-08T16:10:31.761Z,buy,0.00032,33.6,0.010752000000000001
ATM/BTC,1631117440496,2021-09-08T16:10:40.496Z,buy,0.0003199,8.46,0.0027063540000000007
ATM/BTC,1631117440496,2021-09-08T16:10:40.496Z,buy,0.00032,17.71,0.005667200000000001
ATM/BTC,1631117604183,2021-09-08T16:13:24.183Z,sell,0.0003175,29.57,0.009388475
ATM/BTC,1631117704459,2021-09-08T16:15:04.459Z,sell,0.0003175,23.21,0.007369175
ATM/BTC,1631117941570,2021-09-08T16:19:01.570Z,buy,0.0003195,20.0,0.00639
ATM/BTC,1631117941571,2021-09-08T16:19:01.571Z,buy,0.0003197,1.77,0.000565869
ATM/BTC,1631117942583,2021-09-08T16:19:02.583Z,buy,0.00032,19.59,0.006268800000000001
ATM/BTC,1631118015717,2021-09-08T16:20:15.717Z,sell,0.0003178,3.86,0.001226708
ATM/BTC,1631118393547,2021-09-08T16:26:33.547Z,buy,0.00032,0.11,3.52e-05
ATM/BTC,1631118438356,2021-09-08T16:27:18.356Z,sell,0.0003186,0.69,0.00021983399999999997
ATM/BTC,1631118737881,2021-09-08T16:32:17.881Z,buy,0.0003198,0.32,0.000102336
ATM/BTC,1631118783046,2021-09-08T16:33:03.046Z,sell,0.0003186,0.86,0.000273996
ATM/BTC,1631118929864,2021-09-08T16:35:29.864Z,buy,0.0003198,0.33,0.00010553400000000001
ATM/BTC,1631119070521,2021-09-08T16:37:50.521Z,buy,0.0003199,0.32,0.000102368
ATM/BTC,1631119673572,2021-09-08T16:47:53.572Z,sell,0.0003186,4.28,0.001363608
ATM/BTC,1631119771033,2021-09-08T16:49:31.033Z,sell,0.0003184,1.19,0.000378896
ATM/BTC,1631119807764,2021-09-08T16:50:07.764Z,sell,0.0003184,0.32,0.000101888
ATM/BTC,1631119809391,2021-09-08T16:50:09.391Z,sell,0.0003184,0.93,0.000296112
ATM/BTC,1631119829374,2021-09-08T16:50:29.374Z,buy,0.000319,0.89,0.00028391
ATM/BTC,1631119954449,2021-09-08T16:52:34.449Z,buy,0.000319,3.13,0.00099847
ATM/BTC,1631120222054,2021-09-08T16:57:02.054Z,buy,0.000319,8.15,0.0025998500000000003
ATM/BTC,1631120278667,2021-09-08T16:57:58.667Z,buy,0.0003198,0.32,0.000102336
ATM/BTC,1631120278667,2021-09-08T16:57:58.667Z,buy,0.0003198,0.32,0.000102336
ATM/BTC,1631120594088,2021-09-08T17:03:14.088Z,sell,0.0003191,0.98,0.000312718
ATM/BTC,1631120731193,2021-09-08T17:05:31.193Z,buy,0.0003198,9.69,0.003098862
ATM/BTC,1631120923864,2021-09-08T17:08:43.864Z,buy,0.0003199,9.07,0.002901493
ATM/BTC,1631121315850,2021-09-08T17:15:15.850Z,buy,0.0003198,39.61,0.012667278
ATM/BTC,1631121415668,2021-09-08T17:16:55.668Z,buy,0.0003198,2.71,0.0008666580000000001
ATM/BTC,1631121698126,2021-09-08T17:21:38.126Z,buy,0.0003198,171.19,0.054746562000000006
ATM/BTC,1631121698173,2021-09-08T17:21:38.173Z,buy,0.0003198,153.76,0.049172448
ATM/BTC,1631121739326,2021-09-08T17:22:19.326Z,buy,0.0003198,5.78,0.0018484440000000003
ATM/BTC,1631121868288,2021-09-08T17:24:28.288Z,sell,0.0003188,4.45,0.00141866
ATM/BTC,1631121868559,2021-09-08T17:24:28.559Z,sell,0.0003188,47.3,0.015079239999999999
ATM/BTC,1631121868588,2021-09-08T17:24:28.588Z,sell,0.0003178,3.49,0.0011091220000000001
ATM/BTC,1631122305781,2021-09-08T17:31:45.781Z,buy,0.0003196,0.32,0.00010227200000000001
ATM/BTC,1631122307225,2021-09-08T17:31:47.225Z,buy,0.0003198,6.25,0.00199875
ATM/BTC,1631122310721,2021-09-08T17:31:50.721Z,buy,0.0003198,20.94,0.006696612000000001
ATM/BTC,1631122366750,2021-09-08T17:32:46.750Z,sell,0.000319,0.84,0.00026796
ATM/BTC,1631122848517,2021-09-08T17:40:48.517Z,buy,0.0003197,0.32,0.000102304
ATM/BTC,1631122848620,2021-09-08T17:40:48.620Z,buy,0.0003199,10.17,0.0032533830000000003
ATM/BTC,1631122859477,2021-09-08T17:40:59.477Z,buy,0.0003199,458.2,0.14657818
ATM/BTC,1631122859477,2021-09-08T17:40:59.477Z,buy,0.0003199,458.2,0.14657818
ATM/BTC,1631122859478,2021-09-08T17:40:59.478Z,buy,0.0003199,0.01,3.199e-06
ATM/BTC,1631123241528,2021-09-08T17:47:21.528Z,buy,0.0003203,6.46,0.002069138
ATM/BTC,1631123313862,2021-09-08T17:48:33.862Z,buy,0.0003204,2.57,0.0008234279999999999
ATM/BTC,1631123399973,2021-09-08T17:49:59.973Z,buy,0.0003204,0.95,0.00030438
ATM/BTC,1631123405145,2021-09-08T17:50:05.145Z,buy,0.0003204,0.95,0.00030438
ATM/BTC,1631123412971,2021-09-08T17:50:12.971Z,buy,0.0003204,0.95,0.00030438
ATM/BTC,1631123440602,2021-09-08T17:50:40.602Z,sell,0.0003204,0.94,0.00030117599999999995
ATM/BTC,1631123501041,2021-09-08T17:51:41.041Z,sell,0.0003204,0.94,0.00030117599999999995
ATM/BTC,1631123512807,2021-09-08T17:51:52.807Z,sell,0.0003204,0.95,0.00030438
ATM/BTC,1631123536688,2021-09-08T17:52:16.688Z,buy,0.0003212,0.35,0.00011242
ATM/BTC,1631123536690,2021-09-08T17:52:16.690Z,buy,0.0003213,0.35,0.00011245499999999999
ATM/BTC,1631123536703,2021-09-08T17:52:16.703Z,buy,0.0003213,1.41,0.000453033
ATM/BTC,1631123546017,2021-09-08T17:52:26.017Z,buy,0.0003213,0.94,0.000302022
ATM/BTC,1631123547132,2021-09-08T17:52:27.132Z,buy,0.0003213,0.94,0.000302022
ATM/BTC,1631123549309,2021-09-08T17:52:29.309Z,buy,0.0003213,0.94,0.000302022
ATM/BTC,1631123619022,2021-09-08T17:53:39.022Z,sell,0.0003207,1.17,0.000375219
ATM/BTC,1631123657979,2021-09-08T17:54:17.979Z,buy,0.0003213,0.32,0.000102816
ATM/BTC,1631123679858,2021-09-08T17:54:39.858Z,buy,0.0003218,0.33,0.00010619400000000001
ATM/BTC,1631123681074,2021-09-08T17:54:41.074Z,buy,0.0003219,0.32,0.00010300800000000001
ATM/BTC,1631123681087,2021-09-08T17:54:41.087Z,buy,0.000322,2.56,0.00082432
ATM/BTC,1631123681097,2021-09-08T17:54:41.097Z,buy,0.0003222,1.0,0.0003222
ATM/BTC,1631123687748,2021-09-08T17:54:47.748Z,buy,0.0003223,0.33,0.000106359
ATM/BTC,1631123687748,2021-09-08T17:54:47.748Z,buy,0.0003224,0.48,0.00015475199999999997
ATM/BTC,1631123687748,2021-09-08T17:54:47.748Z,buy,0.0003227,0.12,3.8724e-05
ATM/BTC,1631123693225,2021-09-08T17:54:53.225Z,buy,0.0003227,1.26,0.000406602
ATM/BTC,1631123693332,2021-09-08T17:54:53.332Z,buy,0.0003228,4.33,0.001397724
ATM/BTC,1631123693823,2021-09-08T17:54:53.823Z,buy,0.0003227,0.94,0.00030333799999999995
ATM/BTC,1631123700177,2021-09-08T17:55:00.177Z,buy,0.0003229,1.75,0.000565075
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003233,0.31,0.00010022299999999999
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003236,2.55,0.0008251799999999999
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.000324,0.47,0.00015228
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003241,0.66,0.000213906
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003243,1.19,0.000385917
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003245,2.75,0.0008923749999999999
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003247,0.96,0.00031171199999999996
ATM/BTC,1631123705284,2021-09-08T17:55:05.284Z,buy,0.0003248,299.25,0.09719639999999999
ATM/BTC,1631123705576,2021-09-08T17:55:05.576Z,buy,0.0003248,0.69,0.00022411199999999997
ATM/BTC,1631123729745,2021-09-08T17:55:29.745Z,sell,0.0003225,12.74,0.00410865
ATM/BTC,1631123729982,2021-09-08T17:55:29.982Z,sell,0.0003224,0.62,0.00019988799999999998
ATM/BTC,1631123731146,2021-09-08T17:55:31.146Z,sell,0.0003224,0.76,0.000245024
ATM/BTC,1631123781081,2021-09-08T17:56:21.081Z,sell,0.0003224,18.62,0.006003088
ATM/BTC,1631123796040,2021-09-08T17:56:36.040Z,sell,0.0003223,19.42,0.006259066
ATM/BTC,1631123796046,2021-09-08T17:56:36.046Z,sell,0.0003223,2.33,0.0007509589999999999
ATM/BTC,1631123859269,2021-09-08T17:57:39.269Z,sell,0.0003223,3.86,0.0012440779999999998
ATM/BTC,1631123859269,2021-09-08T17:57:39.269Z,sell,0.0003223,3.86,0.0012440779999999998
ATM/BTC,1631123894022,2021-09-08T17:58:14.022Z,buy,0.0003236,0.7,0.00022652
ATM/BTC,1631123949088,2021-09-08T17:59:09.088Z,sell,0.0003227,1.41,0.00045500699999999995
ATM/BTC,1631123953937,2021-09-08T17:59:13.937Z,sell,0.0003227,0.7,0.00022588999999999997
ATM/BTC,1631123955021,2021-09-08T17:59:15.021Z,buy,0.0003236,12.36,0.003999696
ATM/BTC,1631123998316,2021-09-08T17:59:58.316Z,sell,0.0003229,2.87,0.000926723
ATM/BTC,1631124025674,2021-09-08T18:00:25.674Z,buy,0.0003239,0.32,0.00010364800000000001
ATM/BTC,1631124028663,2021-09-08T18:00:28.663Z,buy,0.000324,0.32,0.00010368000000000001
ATM/BTC,1631124067512,2021-09-08T18:01:07.512Z,buy,0.0003244,0.34,0.00011029600000000002
ATM/BTC,1631124067512,2021-09-08T18:01:07.512Z,buy,0.0003245,1.75,0.0005678749999999999
ATM/BTC,1631124067512,2021-09-08T18:01:07.512Z,buy,0.0003246,0.32,0.000103872
ATM/BTC,1631124067512,2021-09-08T18:01:07.512Z,buy,0.0003247,7.36,0.002389792
ATM/BTC,1631124081652,2021-09-08T18:01:21.652Z,buy,0.0003252,0.09,2.9267999999999998e-05
ATM/BTC,1631124081682,2021-09-08T18:01:21.682Z,buy,0.0003252,2.36,0.000767472
ATM/BTC,1631124084585,2021-09-08T18:01:24.585Z,sell,0.0003238,3.0,0.0009714000000000001
ATM/BTC,1631124088013,2021-09-08T18:01:28.013Z,buy,0.0003252,0.09,2.9267999999999998e-05
ATM/BTC,1631124088029,2021-09-08T18:01:28.029Z,sell,0.0003252,0.95,0.00030893999999999995
ATM/BTC,1631124088039,2021-09-08T18:01:28.039Z,sell,0.0003252,8.18,0.002660136
ATM/BTC,1631124093404,2021-09-08T18:01:33.404Z,sell,0.0003242,2.47,0.0008007740000000001
ATM/BTC,1631124107724,2021-09-08T18:01:47.724Z,buy,0.0003253,0.33,0.000107349
ATM/BTC,1631124142700,2021-09-08T18:02:22.700Z,sell,0.0003251,0.92,0.000299092
