symbol,timestamp,datetime,side,price,amount,btc_volume
BNT/BTC,1587571184439,2020-04-22T15:59:44.439Z,buy,2.759e-05,12.0,0.00033108
BNT/BTC,1587571184439,2020-04-22T15:59:44.439Z,buy,2.763e-05,2.0,5.526e-05
BNT/BTC,1587571184439,2020-04-22T15:59:44.439Z,buy,2.765e-05,18.0,0.0004977
BNT/BTC,1587571241494,2020-04-22T16:00:41.494Z,buy,2.765e-05,4.0,0.0001106
BNT/BTC,1587571261902,2020-04-22T16:01:01.902Z,buy,2.765e-05,288.0,0.0079632
BNT/BTC,1587571428581,2020-04-22T16:03:48.581Z,sell,2.761e-05,4.0,0.00011044
BNT/BTC,1587571448504,2020-04-22T16:04:08.504Z,sell,2.753e-05,20.0,0.0005505999999999999
BNT/BTC,1587571449343,2020-04-22T16:04:09.343Z,sell,2.75e-05,122.0,0.003355
BNT/BTC,1587572028553,2020-04-22T16:13:48.553Z,sell,2.749e-05,4.0,0.00010996
BNT/BTC,1587572735736,2020-04-22T16:25:35.736Z,sell,2.748e-05,143.0,0.00392964
BNT/BTC,1587572915094,2020-04-22T16:28:35.094Z,buy,2.758e-05,15.0,0.0004137
BNT/BTC,1587572915094,2020-04-22T16:28:35.094Z,buy,2.759e-05,20.0,0.0005518
BNT/BTC,1587572915094,2020-04-22T16:28:35.094Z,buy,2.761e-05,1.0,2.761e-05
BNT/BTC,1587573396887,2020-04-22T16:36:36.887Z,sell,2.753e-05,20.0,0.0005505999999999999
BNT/BTC,1587573411896,2020-04-22T16:36:51.896Z,buy,2.751e-05,16.0,0.00044016
BNT/BTC,1587573427789,2020-04-22T16:37:07.789Z,buy,2.752e-05,11.0,0.00030272000000000003
BNT/BTC,1587573489155,2020-04-22T16:38:09.155Z,sell,2.748e-05,51.0,0.00140148
BNT/BTC,1587573627166,2020-04-22T16:40:27.166Z,buy,2.753e-05,7.0,0.00019271
BNT/BTC,1587573677698,2020-04-22T16:41:17.698Z,buy,2.753e-05,4.0,0.00011012
BNT/BTC,1587573686349,2020-04-22T16:41:26.349Z,buy,2.753e-05,1.0,2.753e-05
BNT/BTC,1587574654318,2020-04-22T16:57:34.318Z,sell,2.748e-05,4.0,0.00010992
BNT/BTC,1587574668363,2020-04-22T16:57:48.363Z,sell,2.748e-05,4.0,0.00010992
BNT/BTC,1587574668363,2020-04-22T16:57:48.363Z,sell,2.747e-05,3.0,8.240999999999999e-05
BNT/BTC,1587574691440,2020-04-22T16:58:11.440Z,sell,2.747e-05,17.0,0.00046698999999999997
BNT/BTC,1587574691440,2020-04-22T16:58:11.440Z,sell,2.747e-05,17.0,0.00046698999999999997
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.745e-05,4.0,0.0001098
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.743e-05,4.0,0.00010972
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.741e-05,28.0,0.00076748
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.737e-05,183.0,0.00500871
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.735e-05,44.0,0.0012034
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.732e-05,145.0,0.0039613999999999995
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.731e-05,694.0,0.01895314
BNT/BTC,1587574871597,2020-04-22T17:01:11.597Z,sell,2.73e-05,898.0,0.0245154
BNT/BTC,1587574885899,2020-04-22T17:01:25.899Z,sell,2.74e-05,4.0,0.0001096
BNT/BTC,1587575174742,2020-04-22T17:06:14.742Z,buy,2.74e-05,4.0,0.0001096
BNT/BTC,1587575230892,2020-04-22T17:07:10.892Z,buy,2.74e-05,1.0,2.74e-05
BNT/BTC,1587575230892,2020-04-22T17:07:10.892Z,buy,2.741e-05,3.0,8.223e-05
BNT/BTC,1587575258121,2020-04-22T17:07:38.121Z,buy,2.741e-05,1.0,2.741e-05
BNT/BTC,1587575276304,2020-04-22T17:07:56.304Z,buy,2.741e-05,16.0,0.00043856
BNT/BTC,1587575276304,2020-04-22T17:07:56.304Z,buy,2.745e-05,3.0,8.235e-05
BNT/BTC,1587575440459,2020-04-22T17:10:40.459Z,sell,2.737e-05,4.0,0.00010948
BNT/BTC,1587575440459,2020-04-22T17:10:40.459Z,sell,2.735e-05,20.0,0.000547
BNT/BTC,1587575440459,2020-04-22T17:10:40.459Z,sell,2.734e-05,4.0,0.00010936
BNT/BTC,1587575440459,2020-04-22T17:10:40.459Z,sell,2.731e-05,588.0,0.01605828
BNT/BTC,1587575440459,2020-04-22T17:10:40.459Z,sell,2.73e-05,932.0,0.0254436
BNT/BTC,1587575440459,2020-04-22T17:10:40.459Z,sell,2.729e-05,1449.0,0.03954321
