symbol,timestamp,datetime,side,price,amount,btc_volume
DLT/BTC,1621011617820,2021-05-14T17:00:17.820Z,buy,3.43e-06,304.0,0.00104272
DLT/BTC,1621011725004,2021-05-14T17:02:05.004Z,buy,3.43e-06,498.0,0.0017081400000000001
DLT/BTC,1621011856086,2021-05-14T17:04:16.086Z,buy,3.44e-06,47.0,0.00016168
DLT/BTC,1621011861305,2021-05-14T17:04:21.305Z,buy,3.44e-06,31.0,0.00010664000000000001
DLT/BTC,1621011947714,2021-05-14T17:05:47.714Z,sell,3.43e-06,146.0,0.00050078
DLT/BTC,1621011947714,2021-05-14T17:05:47.714Z,sell,3.42e-06,4961.0,0.016966619999999998
DLT/BTC,1621011947714,2021-05-14T17:05:47.714Z,sell,3.41e-06,2999.0,0.01022659
DLT/BTC,1621012051390,2021-05-14T17:07:31.390Z,buy,3.43e-06,81.0,0.00027783
DLT/BTC,1621012181635,2021-05-14T17:09:41.635Z,buy,3.44e-06,35.0,0.0001204
DLT/BTC,1621012312271,2021-05-14T17:11:52.271Z,sell,3.43e-06,794.0,0.0027234200000000003
DLT/BTC,1621012454134,2021-05-14T17:14:14.134Z,sell,3.43e-06,1142.0,0.00391706
DLT/BTC,1621013065680,2021-05-14T17:24:25.680Z,buy,3.44e-06,239.0,0.0008221600000000001
DLT/BTC,1621013139008,2021-05-14T17:25:39.008Z,sell,3.43e-06,213.0,0.00073059
DLT/BTC,1621013231109,2021-05-14T17:27:11.109Z,buy,3.44e-06,2907.0,0.01000008
DLT/BTC,1621013253353,2021-05-14T17:27:33.353Z,sell,3.43e-06,1467.0,0.00503181
DLT/BTC,1621013253353,2021-05-14T17:27:33.353Z,sell,3.42e-06,326.0,0.00111492
DLT/BTC,1621013395522,2021-05-14T17:29:55.522Z,sell,3.42e-06,31.0,0.00010601999999999999
DLT/BTC,1621013402289,2021-05-14T17:30:02.289Z,buy,3.44e-06,29.0,9.976000000000001e-05
DLT/BTC,1621014195173,2021-05-14T17:43:15.173Z,buy,3.44e-06,808.0,0.00277952
DLT/BTC,1621014433405,2021-05-14T17:47:13.405Z,buy,3.44e-06,146.0,0.00050224
DLT/BTC,1621014480540,2021-05-14T17:48:00.540Z,buy,3.44e-06,40.0,0.0001376
DLT/BTC,1621014619948,2021-05-14T17:50:19.948Z,sell,3.43e-06,392.0,0.00134456
DLT/BTC,1621014638412,2021-05-14T17:50:38.412Z,sell,3.43e-06,794.0,0.0027234200000000003
DLT/BTC,1621014848526,2021-05-14T17:54:08.526Z,sell,3.42e-06,181.0,0.00061902
DLT/BTC,1621015033029,2021-05-14T17:57:13.029Z,buy,3.43e-06,81.0,0.00027783
DLT/BTC,1621015155813,2021-05-14T17:59:15.813Z,buy,3.44e-06,32.0,0.00011008
DLT/BTC,1621015155813,2021-05-14T17:59:15.813Z,buy,3.44e-06,32.0,0.00011008
DLT/BTC,1621015283843,2021-05-14T18:01:23.843Z,buy,3.44e-06,39.0,0.00013416
DLT/BTC,1621015283843,2021-05-14T18:01:23.843Z,buy,3.45e-06,1947.0,0.00671715
DLT/BTC,1621015338207,2021-05-14T18:02:18.207Z,buy,3.45e-06,2150.0,0.0074175
DLT/BTC,1621015341824,2021-05-14T18:02:21.824Z,buy,3.45e-06,38.0,0.0001311
DLT/BTC,1621015395918,2021-05-14T18:03:15.918Z,buy,3.45e-06,30.0,0.0001035
DLT/BTC,1621015421671,2021-05-14T18:03:41.671Z,sell,3.42e-06,38.0,0.00012995999999999998
DLT/BTC,1621015563390,2021-05-14T18:06:03.390Z,buy,3.45e-06,38.0,0.0001311
DLT/BTC,1621015586771,2021-05-14T18:06:26.771Z,buy,3.45e-06,16975.0,0.05856375
DLT/BTC,1621015586771,2021-05-14T18:06:26.771Z,buy,3.46e-06,3169.0,0.010964739999999999
DLT/BTC,1621015587644,2021-05-14T18:06:27.644Z,buy,3.44e-06,81.0,0.00027864000000000003
DLT/BTC,1621015588578,2021-05-14T18:06:28.578Z,buy,3.44e-06,150.0,0.000516
DLT/BTC,1621015590029,2021-05-14T18:06:30.029Z,buy,3.44e-06,32.0,0.00011008
DLT/BTC,1621015590710,2021-05-14T18:06:30.710Z,buy,3.44e-06,71.0,0.00024424
DLT/BTC,1621015808450,2021-05-14T18:10:08.450Z,buy,3.46e-06,579.0,0.00200334
DLT/BTC,1621015925314,2021-05-14T18:12:05.314Z,buy,3.46e-06,833.0,0.00288218
DLT/BTC,1621015935832,2021-05-14T18:12:15.832Z,sell,3.44e-06,126.0,0.00043344
DLT/BTC,1621016303077,2021-05-14T18:18:23.077Z,sell,3.45e-06,1081.0,0.00372945
DLT/BTC,1621016303077,2021-05-14T18:18:23.077Z,sell,3.44e-06,587.0,0.00201928
DLT/BTC,1621016305945,2021-05-14T18:18:25.945Z,buy,3.44e-06,36.0,0.00012384
DLT/BTC,1621016341144,2021-05-14T18:19:01.144Z,buy,3.44e-06,408.0,0.0014035200000000001
DLT/BTC,1621016355538,2021-05-14T18:19:15.538Z,sell,3.44e-06,1045.0,0.0035948
DLT/BTC,1621016355538,2021-05-14T18:19:15.538Z,sell,3.43e-06,942.0,0.00323106
DLT/BTC,1621016355538,2021-05-14T18:19:15.538Z,sell,3.42e-06,714.0,0.00244188
DLT/BTC,1621016355538,2021-05-14T18:19:15.538Z,sell,3.41e-06,6331.0,0.02158871
