symbol,timestamp,datetime,side,price,amount,btc_volume
FIO/BTC,1623430886119,2021-06-11T17:01:26.119Z,sell,5.75e-06,620.0,0.003565
FIO/BTC,1623430887855,2021-06-11T17:01:27.855Z,sell,5.74e-06,6675.0,0.0383145
FIO/BTC,1623430887855,2021-06-11T17:01:27.855Z,sell,5.73e-06,620.0,0.0035526
FIO/BTC,1623430887860,2021-06-11T17:01:27.860Z,sell,5.72e-06,886.0,0.00506792
FIO/BTC,1623430887888,2021-06-11T17:01:27.888Z,sell,5.72e-06,7300.0,0.041756
FIO/BTC,1623430887908,2021-06-11T17:01:27.908Z,sell,5.72e-06,405.0,0.0023166000000000003
FIO/BTC,1623430893292,2021-06-11T17:01:33.292Z,sell,5.73e-06,127.0,0.00072771
FIO/BTC,1623430921796,2021-06-11T17:02:01.796Z,sell,5.73e-06,620.0,0.0035526
FIO/BTC,1623430921849,2021-06-11T17:02:01.849Z,sell,5.72e-06,6640.0,0.0379808
FIO/BTC,1623430921858,2021-06-11T17:02:01.858Z,sell,5.72e-06,10.0,5.72e-05
FIO/BTC,1623430921867,2021-06-11T17:02:01.867Z,sell,5.72e-06,620.0,0.0035464000000000003
FIO/BTC,1623430921922,2021-06-11T17:02:01.922Z,sell,5.71e-06,556.0,0.0031747600000000004
FIO/BTC,1623430921947,2021-06-11T17:02:01.947Z,sell,5.71e-06,327.0,0.00186717
FIO/BTC,1623430921948,2021-06-11T17:02:01.948Z,sell,5.71e-06,568.0,0.0032432800000000003
FIO/BTC,1623430925284,2021-06-11T17:02:05.284Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430925582,2021-06-11T17:02:05.582Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430925686,2021-06-11T17:02:05.686Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430925887,2021-06-11T17:02:05.887Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430925983,2021-06-11T17:02:05.983Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430926385,2021-06-11T17:02:06.385Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430926485,2021-06-11T17:02:06.485Z,buy,5.73e-06,620.0,0.0035526
FIO/BTC,1623430931084,2021-06-11T17:02:11.084Z,buy,5.74e-06,3890.0,0.0223286
FIO/BTC,1623430931690,2021-06-11T17:02:11.690Z,buy,5.74e-06,1161.0,0.00666414
FIO/BTC,1623430937949,2021-06-11T17:02:17.949Z,sell,5.72e-06,620.0,0.0035464000000000003
FIO/BTC,1623430946366,2021-06-11T17:02:26.366Z,sell,5.72e-06,690.0,0.0039468
FIO/BTC,1623430946366,2021-06-11T17:02:26.366Z,sell,5.71e-06,3376.0,0.019276960000000003
FIO/BTC,1623430953199,2021-06-11T17:02:33.199Z,buy,5.74e-06,690.0,0.0039606
FIO/BTC,1623430953307,2021-06-11T17:02:33.307Z,buy,5.74e-06,690.0,0.0039606
FIO/BTC,1623431010274,2021-06-11T17:03:30.274Z,sell,5.73e-06,435.0,0.00249255
FIO/BTC,1623431032133,2021-06-11T17:03:52.133Z,buy,5.74e-06,6.0,3.444e-05
FIO/BTC,1623431101885,2021-06-11T17:05:01.885Z,buy,5.74e-06,56.0,0.00032144
FIO/BTC,1623431101968,2021-06-11T17:05:01.968Z,buy,5.75e-06,264.0,0.001518
FIO/BTC,1623431112130,2021-06-11T17:05:12.130Z,sell,5.74e-06,65.0,0.0003731
FIO/BTC,1623431155310,2021-06-11T17:05:55.310Z,buy,5.76e-06,149.0,0.00085824
FIO/BTC,1623431171139,2021-06-11T17:06:11.139Z,buy,5.77e-06,1352.0,0.0078010399999999995
FIO/BTC,1623431171295,2021-06-11T17:06:11.295Z,buy,5.78e-06,500.0,0.0028899999999999998
FIO/BTC,1623431178154,2021-06-11T17:06:18.154Z,buy,5.78e-06,1174.0,0.006785719999999999
FIO/BTC,1623431223209,2021-06-11T17:07:03.209Z,sell,5.78e-06,5125.0,0.0296225
FIO/BTC,1623431249894,2021-06-11T17:07:29.894Z,buy,5.79e-06,405.0,0.0023449499999999997
FIO/BTC,1623431291161,2021-06-11T17:08:11.161Z,sell,5.78e-06,72.0,0.00041616
FIO/BTC,1623431303122,2021-06-11T17:08:23.122Z,buy,5.8e-06,79.0,0.0004582
FIO/BTC,1623431376691,2021-06-11T17:09:36.691Z,buy,5.8e-06,588.0,0.0034104
FIO/BTC,1623431376793,2021-06-11T17:09:36.793Z,buy,5.8e-06,176.0,0.0010208
FIO/BTC,1623431393907,2021-06-11T17:09:53.907Z,sell,5.79e-06,469.0,0.00271551
FIO/BTC,1623431412724,2021-06-11T17:10:12.724Z,sell,5.79e-06,299.0,0.00173121
FIO/BTC,1623431433811,2021-06-11T17:10:33.811Z,buy,5.8e-06,19.0,0.00011020000000000001
FIO/BTC,1623431485781,2021-06-11T17:11:25.781Z,buy,5.8e-06,3221.0,0.018681800000000002
FIO/BTC,1623431485948,2021-06-11T17:11:25.948Z,buy,5.81e-06,416.0,0.00241696
FIO/BTC,1623431520751,2021-06-11T17:12:00.751Z,buy,5.82e-06,690.0,0.0040158
FIO/BTC,1623431520751,2021-06-11T17:12:00.751Z,buy,5.82e-06,171.0,0.00099522
FIO/BTC,1623431520761,2021-06-11T17:12:00.761Z,buy,5.82e-06,866.0,0.00504012
FIO/BTC,1623431520763,2021-06-11T17:12:00.763Z,buy,5.82e-06,690.0,0.0040158
FIO/BTC,1623431520773,2021-06-11T17:12:00.773Z,buy,5.82e-06,690.0,0.0040158
FIO/BTC,1623431520783,2021-06-11T17:12:00.783Z,buy,5.82e-06,261.0,0.00151902
