symbol,timestamp,datetime,side,price,amount,btc_volume
GVT/BTC,1586793491374,2020-04-13T15:58:11.374Z,buy,0.0001048,75.89,0.007953272
GVT/BTC,1586793491374,2020-04-13T15:58:11.374Z,buy,0.0001049,1087.38,0.11406616200000001
GVT/BTC,1586793491374,2020-04-13T15:58:11.374Z,buy,0.000105,651.64,0.0684222
GVT/BTC,1586793494821,2020-04-13T15:58:14.821Z,buy,0.000105,9.52,0.0009996
GVT/BTC,1586793497810,2020-04-13T15:58:17.810Z,buy,0.000105,0.97,0.00010185
GVT/BTC,1586793519873,2020-04-13T15:58:39.873Z,sell,0.0001045,7.74,0.0008088300000000001
GVT/BTC,1586793554653,2020-04-13T15:59:14.653Z,sell,0.0001048,1.0,0.0001048
GVT/BTC,1586793610957,2020-04-13T16:00:10.957Z,sell,0.0001045,46.2,0.0048279
GVT/BTC,1586793671828,2020-04-13T16:01:11.828Z,sell,0.0001045,48.0,0.0050160000000000005
GVT/BTC,1586793671841,2020-04-13T16:01:11.841Z,sell,0.0001045,48.0,0.0050160000000000005
GVT/BTC,1586793686703,2020-04-13T16:01:26.703Z,sell,0.0001045,5.57,0.0005820650000000001
GVT/BTC,1586794704184,2020-04-13T16:18:24.184Z,sell,0.0001042,144.65,0.01507253
GVT/BTC,1586794716787,2020-04-13T16:18:36.787Z,sell,0.0001042,272.69,0.028414298
GVT/BTC,1586795965974,2020-04-13T16:39:25.974Z,buy,0.0001047,4.87,0.000509889
GVT/BTC,1586796176316,2020-04-13T16:42:56.316Z,sell,0.0001042,41.62,0.004336804
GVT/BTC,1586796181193,2020-04-13T16:43:01.193Z,sell,0.0001042,99.9,0.01040958
GVT/BTC,1586796222200,2020-04-13T16:43:42.200Z,sell,0.0001042,400.0,0.04168
GVT/BTC,1586796651384,2020-04-13T16:50:51.384Z,sell,0.0001042,1.72,0.000179224
GVT/BTC,1586796693001,2020-04-13T16:51:33.001Z,sell,0.0001042,19.15,0.00199543
GVT/BTC,1586796693007,2020-04-13T16:51:33.007Z,sell,0.0001042,99.9,0.01040958
GVT/BTC,1586796696767,2020-04-13T16:51:36.767Z,sell,0.0001042,5.87,0.000611654
GVT/BTC,1586796696999,2020-04-13T16:51:36.999Z,sell,0.0001042,11.97,0.001247274
GVT/BTC,1586796696999,2020-04-13T16:51:36.999Z,sell,0.0001042,11.97,0.001247274
GVT/BTC,1586798473528,2020-04-13T17:21:13.528Z,sell,0.0001042,12.06,0.001256652
GVT/BTC,1586798473528,2020-04-13T17:21:13.528Z,sell,0.0001041,88.39,0.009201398999999999
GVT/BTC,1586798473528,2020-04-13T17:21:13.528Z,sell,0.000104,1.93,0.00020072
GVT/BTC,1586798473528,2020-04-13T17:21:13.528Z,sell,0.0001039,17.62,0.0018307180000000003
GVT/BTC,1586798474905,2020-04-13T17:21:14.905Z,sell,0.0001038,5.95,0.00061761
GVT/BTC,1586798474905,2020-04-13T17:21:14.905Z,sell,0.0001037,1.11,0.00011510700000000001
GVT/BTC,1586798474905,2020-04-13T17:21:14.905Z,sell,0.0001036,27.58,0.002857288
GVT/BTC,1586798474980,2020-04-13T17:21:14.980Z,sell,0.0001036,9.66,0.001000776
GVT/BTC,1586798519925,2020-04-13T17:21:59.925Z,sell,0.0001036,63.19,0.006546484
GVT/BTC,1586798528698,2020-04-13T17:22:08.698Z,buy,0.0001037,0.97,0.000100589
GVT/BTC,1586799101316,2020-04-13T17:31:41.316Z,sell,0.0001036,9.77,0.001012172
GVT/BTC,1586799102237,2020-04-13T17:31:42.237Z,sell,0.0001036,132.03,0.013678308
GVT/BTC,1586799103185,2020-04-13T17:31:43.185Z,sell,0.0001036,8.74,0.000905464
GVT/BTC,1586799270664,2020-04-13T17:34:30.664Z,buy,0.0001037,26.13,0.002709681
GVT/BTC,1586799277056,2020-04-13T17:34:37.056Z,buy,0.0001037,17.34,0.001798158
GVT/BTC,1586799286762,2020-04-13T17:34:46.762Z,buy,0.0001037,11.2,0.00116144
GVT/BTC,1586799626523,2020-04-13T17:40:26.523Z,sell,0.0001036,28.2,0.00292152
GVT/BTC,1586799667300,2020-04-13T17:41:07.300Z,buy,0.0001037,14.38,0.0014912060000000001
GVT/BTC,1586799669102,2020-04-13T17:41:09.102Z,buy,0.0001037,9.91,0.0010276670000000001
GVT/BTC,1586799818761,2020-04-13T17:43:38.761Z,buy,0.0001037,51.22,0.005311514
GVT/BTC,1586799891358,2020-04-13T17:44:51.358Z,sell,0.0001036,261.37,0.027077932
GVT/BTC,1586800054036,2020-04-13T17:47:34.036Z,sell,0.0001035,248.54,0.02572389
GVT/BTC,1586800173095,2020-04-13T17:49:33.095Z,buy,0.0001037,4.87,0.000505019
GVT/BTC,1586800176301,2020-04-13T17:49:36.301Z,buy,0.0001037,0.92,9.540400000000001e-05
GVT/BTC,1586800176301,2020-04-13T17:49:36.301Z,buy,0.0001037,0.92,9.540400000000001e-05
GVT/BTC,1586800317578,2020-04-13T17:51:57.578Z,sell,0.0001035,65.0,0.0067275
GVT/BTC,1586800396785,2020-04-13T17:53:16.785Z,buy,0.0001038,2.02,0.000209676
GVT/BTC,1586801969473,2020-04-13T18:19:29.473Z,buy,0.0001037,1.93,0.00020014099999999998
GVT/BTC,1586801969473,2020-04-13T18:19:29.473Z,buy,0.0001038,0.15,1.557e-05
GVT/BTC,1586802095350,2020-04-13T18:21:35.350Z,buy,0.0001038,2.58,0.000267804
GVT/BTC,1586802095350,2020-04-13T18:21:35.350Z,buy,0.0001039,2.14,0.00022234600000000003
