symbol,timestamp,datetime,side,price,amount,btc_volume
IDEX/BTC,1609261215669,2020-12-29T17:00:15.669Z,sell,1.28e-06,10000.0,0.0128
IDEX/BTC,1609261631537,2020-12-29T17:07:11.537Z,sell,1.28e-06,4358.0,0.00557824
IDEX/BTC,1609261691593,2020-12-29T17:08:11.593Z,buy,1.29e-06,436.0,0.00056244
IDEX/BTC,1609261825488,2020-12-29T17:10:25.488Z,buy,1.29e-06,719.0,0.00092751
IDEX/BTC,1609261879040,2020-12-29T17:11:19.040Z,sell,1.28e-06,4951.0,0.00633728
IDEX/BTC,1609261902217,2020-12-29T17:11:42.217Z,sell,1.28e-06,222.0,0.00028416
IDEX/BTC,1609262004911,2020-12-29T17:13:24.911Z,sell,1.28e-06,14219.0,0.01820032
IDEX/BTC,1609262023058,2020-12-29T17:13:43.058Z,buy,1.29e-06,80.0,0.00010319999999999999
IDEX/BTC,1609262032694,2020-12-29T17:13:52.694Z,sell,1.28e-06,120.0,0.0001536
IDEX/BTC,1609262121713,2020-12-29T17:15:21.713Z,sell,1.28e-06,4776.0,0.0061132800000000004
IDEX/BTC,1609262125936,2020-12-29T17:15:25.936Z,buy,1.29e-06,819.0,0.0010565099999999999
IDEX/BTC,1609262125936,2020-12-29T17:15:25.936Z,buy,1.3e-06,13229.0,0.0171977
IDEX/BTC,1609262125936,2020-12-29T17:15:25.936Z,buy,1.31e-06,423.0,0.00055413
IDEX/BTC,1609262252390,2020-12-29T17:17:32.390Z,buy,1.3e-06,92.0,0.00011960000000000001
IDEX/BTC,1609262628442,2020-12-29T17:23:48.442Z,buy,1.3e-06,165.0,0.0002145
IDEX/BTC,1609263224166,2020-12-29T17:33:44.166Z,sell,1.29e-06,91.0,0.00011739
IDEX/BTC,1609263224166,2020-12-29T17:33:44.166Z,sell,1.28e-06,244.0,0.00031232
IDEX/BTC,1609263265144,2020-12-29T17:34:25.144Z,sell,1.28e-06,5329.0,0.00682112
IDEX/BTC,1609263399561,2020-12-29T17:36:39.561Z,buy,1.3e-06,396.0,0.0005148
IDEX/BTC,1609263563272,2020-12-29T17:39:23.272Z,buy,1.3e-06,90.0,0.000117
IDEX/BTC,1609263630051,2020-12-29T17:40:30.051Z,buy,1.29e-06,3443.0,0.0044414699999999994
IDEX/BTC,1609263630051,2020-12-29T17:40:30.051Z,buy,1.3e-06,21574.0,0.0280462
IDEX/BTC,1609263734838,2020-12-29T17:42:14.838Z,sell,1.3e-06,1775.0,0.0023075
IDEX/BTC,1609263768462,2020-12-29T17:42:48.462Z,sell,1.3e-06,88.0,0.0001144
IDEX/BTC,1609263768876,2020-12-29T17:42:48.876Z,sell,1.3e-06,277.0,0.0003601
IDEX/BTC,1609263830700,2020-12-29T17:43:50.700Z,sell,1.3e-06,4719.0,0.0061347
IDEX/BTC,1609264167372,2020-12-29T17:49:27.372Z,buy,1.31e-06,27983.0,0.03665773
IDEX/BTC,1609264167372,2020-12-29T17:49:27.372Z,buy,1.32e-06,22526.0,0.02973432
IDEX/BTC,1609264221830,2020-12-29T17:50:21.830Z,buy,1.32e-06,18644.0,0.024610080000000003
IDEX/BTC,1609264232573,2020-12-29T17:50:32.573Z,sell,1.32e-06,319.0,0.00042108
IDEX/BTC,1609264259229,2020-12-29T17:50:59.229Z,sell,1.31e-06,91.0,0.00011920999999999999
IDEX/BTC,1609264259229,2020-12-29T17:50:59.229Z,sell,1.3e-06,74.0,9.620000000000001e-05
IDEX/BTC,1609264283729,2020-12-29T17:51:23.729Z,buy,1.32e-06,91.0,0.00012012000000000001
IDEX/BTC,1609264348350,2020-12-29T17:52:28.350Z,buy,1.32e-06,3606.0,0.00475992
IDEX/BTC,1609264366732,2020-12-29T17:52:46.732Z,buy,1.33e-06,25815.0,0.03433395
IDEX/BTC,1609264366732,2020-12-29T17:52:46.732Z,buy,1.34e-06,99246.0,0.13298964000000002
IDEX/BTC,1609264366741,2020-12-29T17:52:46.741Z,sell,1.34e-06,9169.0,0.01228646
IDEX/BTC,1609264366743,2020-12-29T17:52:46.743Z,sell,1.34e-06,5624.0,0.00753616
IDEX/BTC,1609264366750,2020-12-29T17:52:46.750Z,sell,1.34e-06,5726.0,0.00767284
IDEX/BTC,1609264366750,2020-12-29T17:52:46.750Z,sell,1.32e-06,8873.0,0.01171236
IDEX/BTC,1609264366786,2020-12-29T17:52:46.786Z,buy,1.35e-06,3153.0,0.00425655
IDEX/BTC,1609264366786,2020-12-29T17:52:46.786Z,buy,1.35e-06,4223.0,0.00570105
IDEX/BTC,1609264366786,2020-12-29T17:52:46.786Z,buy,1.36e-06,2685.0,0.0036515999999999996
IDEX/BTC,1609264367034,2020-12-29T17:52:47.034Z,buy,1.36e-06,4160.0,0.0056576
IDEX/BTC,1609264371100,2020-12-29T17:52:51.100Z,buy,1.34e-06,81.0,0.00010854
IDEX/BTC,1609264371269,2020-12-29T17:52:51.269Z,buy,1.34e-06,91.0,0.00012194
IDEX/BTC,1609264371609,2020-12-29T17:52:51.609Z,buy,1.34e-06,81.0,0.00010854
IDEX/BTC,1609264377639,2020-12-29T17:52:57.639Z,buy,1.34e-06,244.0,0.00032696
IDEX/BTC,1609264390375,2020-12-29T17:53:10.375Z,buy,1.35e-06,81.0,0.00010935
IDEX/BTC,1609264390375,2020-12-29T17:53:10.375Z,buy,1.36e-06,39979.0,0.05437143999999999
IDEX/BTC,1609264400466,2020-12-29T17:53:20.466Z,buy,1.36e-06,81.0,0.00011015999999999999
IDEX/BTC,1609264400466,2020-12-29T17:53:20.466Z,buy,1.37e-06,14340.0,0.0196458
IDEX/BTC,1609264400970,2020-12-29T17:53:20.970Z,buy,1.37e-06,3097.0,0.00424289
IDEX/BTC,1609264411147,2020-12-29T17:53:31.147Z,sell,1.36e-06,97.0,0.00013192
IDEX/BTC,1609264505103,2020-12-29T17:55:05.103Z,buy,1.36e-06,10789.0,0.014673039999999998
IDEX/BTC,1609264517946,2020-12-29T17:55:17.946Z,buy,1.36e-06,16184.0,0.022010239999999997
IDEX/BTC,1609264531462,2020-12-29T17:55:31.462Z,buy,1.37e-06,12138.0,0.01662906
IDEX/BTC,1609264535772,2020-12-29T17:55:35.772Z,sell,1.35e-06,110.0,0.0001485
IDEX/BTC,1609264580749,2020-12-29T17:56:20.749Z,sell,1.35e-06,121.0,0.00016334999999999999
IDEX/BTC,1609264649270,2020-12-29T17:57:29.270Z,buy,1.35e-06,1567.0,0.00211545
IDEX/BTC,1609264694787,2020-12-29T17:58:14.787Z,sell,1.34e-06,522.0,0.00069948
IDEX/BTC,1609264695532,2020-12-29T17:58:15.532Z,buy,1.35e-06,264.0,0.0003564
IDEX/BTC,1609264727067,2020-12-29T17:58:47.067Z,sell,1.34e-06,360.0,0.0004824
IDEX/BTC,1609264727067,2020-12-29T17:58:47.067Z,sell,1.34e-06,360.0,0.0004824
IDEX/BTC,1609264896693,2020-12-29T18:01:36.693Z,sell,1.34e-06,1565.0,0.0020971
IDEX/BTC,1609265082529,2020-12-29T18:04:42.529Z,sell,1.34e-06,264.0,0.00035376
IDEX/BTC,1609265125914,2020-12-29T18:05:25.914Z,buy,1.35e-06,190.0,0.0002565
IDEX/BTC,1609265236360,2020-12-29T18:07:16.360Z,buy,1.35e-06,53559.0,0.07230465
IDEX/BTC,1609265271637,2020-12-29T18:07:51.637Z,sell,1.35e-06,718.0,0.0009693
IDEX/BTC,1609265285360,2020-12-29T18:08:05.360Z,sell,1.35e-06,339682.0,0.4585707
IDEX/BTC,1609265300460,2020-12-29T18:08:20.460Z,buy,1.36e-06,173.0,0.00023527999999999998
