symbol,timestamp,datetime,side,price,amount,btc_volume
MTH/BTC,1622826244530,2021-06-04T17:04:04.530Z,sell,6.5e-07,238.0,0.0001547
MTH/BTC,1622826536625,2021-06-04T17:08:56.625Z,sell,6.5e-07,2533.0,0.00164645
MTH/BTC,1622826549771,2021-06-04T17:09:09.771Z,sell,6.5e-07,1239.0,0.00080535
MTH/BTC,1622826754626,2021-06-04T17:12:34.626Z,buy,6.6e-07,434.0,0.00028644
MTH/BTC,1622827063070,2021-06-04T17:17:43.070Z,sell,6.5e-07,23232.0,0.015100800000000001
MTH/BTC,1622827376100,2021-06-04T17:22:56.100Z,sell,6.5e-07,846.0,0.0005499
MTH/BTC,1622827483706,2021-06-04T17:24:43.706Z,sell,6.5e-07,8751.0,0.00568815
MTH/BTC,1622827910506,2021-06-04T17:31:50.506Z,sell,6.5e-07,1500.0,0.0009750000000000001
MTH/BTC,1622828105857,2021-06-04T17:35:05.857Z,sell,6.5e-07,678.0,0.00044070000000000003
MTH/BTC,1622829280032,2021-06-04T17:54:40.032Z,sell,6.5e-07,453.0,0.00029445000000000003
MTH/BTC,1622829280032,2021-06-04T17:54:40.032Z,sell,6.5e-07,453.0,0.00029445000000000003
MTH/BTC,1622829794399,2021-06-04T18:03:14.399Z,buy,6.6e-07,529.0,0.00034914
MTH/BTC,1622829843930,2021-06-04T18:04:03.930Z,sell,6.5e-07,529.0,0.00034385000000000004
MTH/BTC,1622829881825,2021-06-04T18:04:41.825Z,buy,6.6e-07,1997.0,0.00131802
MTH/BTC,1622830232230,2021-06-04T18:10:32.230Z,buy,6.6e-07,22105.0,0.014589300000000001
MTH/BTC,1622830286766,2021-06-04T18:11:26.766Z,sell,6.5e-07,1299.0,0.00084435
MTH/BTC,1622830519745,2021-06-04T18:15:19.745Z,buy,6.6e-07,7692.0,0.00507672
MTH/BTC,1622830772113,2021-06-04T18:19:32.113Z,buy,6.6e-07,152.0,0.00010032
MTH/BTC,1622830993208,2021-06-04T18:23:13.208Z,sell,6.5e-07,7692.0,0.0049998
MTH/BTC,1622831050264,2021-06-04T18:24:10.264Z,buy,6.6e-07,7573.0,0.0049981800000000005
MTH/BTC,1622831575923,2021-06-04T18:32:55.923Z,buy,6.6e-07,4609.0,0.0030419400000000004
MTH/BTC,1622831718843,2021-06-04T18:35:18.843Z,sell,6.5e-07,7573.0,0.00492245
MTH/BTC,1622831765840,2021-06-04T18:36:05.840Z,buy,6.6e-07,7344.0,0.00484704
MTH/BTC,1622831781627,2021-06-04T18:36:21.627Z,buy,6.6e-07,641.0,0.00042306
MTH/BTC,1622831810178,2021-06-04T18:36:50.178Z,buy,6.6e-07,56964.0,0.03759624
MTH/BTC,1622831994847,2021-06-04T18:39:54.847Z,sell,6.5e-07,438.0,0.00028470000000000004
MTH/BTC,1622832002583,2021-06-04T18:40:02.583Z,sell,6.5e-07,1021.0,0.00066365
MTH/BTC,1622832064880,2021-06-04T18:41:04.880Z,sell,6.5e-07,12024.0,0.0078156
MTH/BTC,1622832134935,2021-06-04T18:42:14.935Z,sell,6.5e-07,18448.0,0.0119912
MTH/BTC,1622832198777,2021-06-04T18:43:18.777Z,sell,6.5e-07,23816.0,0.0154804
MTH/BTC,1622832384343,2021-06-04T18:46:24.343Z,buy,6.6e-07,157.0,0.00010362
MTH/BTC,1622832431428,2021-06-04T18:47:11.428Z,sell,6.5e-07,7344.0,0.0047736
MTH/BTC,1622832431428,2021-06-04T18:47:11.428Z,sell,6.5e-07,7344.0,0.0047736
MTH/BTC,1622833025468,2021-06-04T18:57:05.468Z,buy,6.6e-07,8547.0,0.00564102
MTH/BTC,1622833405743,2021-06-04T19:03:25.743Z,buy,6.6e-07,6887.0,0.0045454200000000005
MTH/BTC,1622833406883,2021-06-04T19:03:26.883Z,buy,6.6e-07,304.0,0.00020064
MTH/BTC,1622833421649,2021-06-04T19:03:41.649Z,buy,6.6e-07,4533.0,0.0029917800000000003
MTH/BTC,1622833534895,2021-06-04T19:05:34.895Z,sell,6.5e-07,3899.0,0.00253435
