symbol,timestamp,datetime,side,price,amount,btc_volume
NAS/BTC,1643555041671,2022-01-30T15:04:01.671Z,sell,6.5e-06,147.0,0.0009555
NAS/BTC,1643555085974,2022-01-30T15:04:45.974Z,buy,6.6e-06,90.0,0.000594
NAS/BTC,1643555261759,2022-01-30T15:07:41.759Z,sell,6.5e-06,1769.0,0.0114985
NAS/BTC,1643555380235,2022-01-30T15:09:40.235Z,sell,6.5e-06,197.0,0.0012805
NAS/BTC,1643555635407,2022-01-30T15:13:55.407Z,sell,6.5e-06,118.0,0.000767
NAS/BTC,1643555973754,2022-01-30T15:19:33.754Z,buy,6.6e-06,469.0,0.0030954000000000003
NAS/BTC,1643556058520,2022-01-30T15:20:58.520Z,sell,6.5e-06,95.0,0.0006175
NAS/BTC,1643556370394,2022-01-30T15:26:10.394Z,sell,6.5e-06,123.0,0.0007995
NAS/BTC,1643556699901,2022-01-30T15:31:39.901Z,sell,6.5e-06,177.0,0.0011504999999999998
NAS/BTC,1643556950675,2022-01-30T15:35:50.675Z,sell,6.5e-06,450.0,0.0029249999999999996
NAS/BTC,1643557071699,2022-01-30T15:37:51.699Z,sell,6.5e-06,148.0,0.000962
NAS/BTC,1643557380781,2022-01-30T15:43:00.781Z,sell,6.5e-06,508.0,0.003302
NAS/BTC,1643557410408,2022-01-30T15:43:30.408Z,sell,6.5e-06,218.0,0.0014169999999999999
NAS/BTC,1643557725611,2022-01-30T15:48:45.611Z,sell,6.5e-06,439.0,0.0028534999999999997
NAS/BTC,1643557756886,2022-01-30T15:49:16.886Z,sell,6.5e-06,126.0,0.000819
NAS/BTC,1643558117995,2022-01-30T15:55:17.995Z,sell,6.5e-06,208.0,0.001352
NAS/BTC,1643558117995,2022-01-30T15:55:17.995Z,sell,6.5e-06,208.0,0.001352
NAS/BTC,1643558408807,2022-01-30T16:00:08.807Z,sell,6.5e-06,2133.0,0.013864499999999998
NAS/BTC,1643558409157,2022-01-30T16:00:09.157Z,sell,6.5e-06,2510.0,0.016315
NAS/BTC,1643558413983,2022-01-30T16:00:13.983Z,sell,6.5e-06,20.0,0.00013
NAS/BTC,1643558480308,2022-01-30T16:01:20.308Z,sell,6.5e-06,198.0,0.001287
NAS/BTC,1643558691723,2022-01-30T16:04:51.723Z,buy,6.6e-06,65.0,0.000429
NAS/BTC,1643558781982,2022-01-30T16:06:21.982Z,sell,6.5e-06,216.0,0.0014039999999999999
NAS/BTC,1643559126646,2022-01-30T16:12:06.646Z,sell,6.5e-06,161.0,0.0010465
NAS/BTC,1643559448048,2022-01-30T16:17:28.048Z,sell,6.5e-06,196.0,0.001274
NAS/BTC,1643559786699,2022-01-30T16:23:06.699Z,sell,6.5e-06,98.0,0.000637
NAS/BTC,1643560103407,2022-01-30T16:28:23.407Z,sell,6.5e-06,148.0,0.000962
