symbol,timestamp,datetime,side,price,amount,btc_volume
NEBL/BTC,1640970237339,2021-12-31T17:03:57.339Z,sell,2.448e-05,14.2,0.000347616
NEBL/BTC,1640970961505,2021-12-31T17:16:01.505Z,sell,2.45e-05,330.0,0.008085
NEBL/BTC,1640970964141,2021-12-31T17:16:04.141Z,sell,2.45e-05,0.8,1.9600000000000002e-05
NEBL/BTC,1640971101200,2021-12-31T17:18:21.200Z,sell,2.449e-05,23.0,0.00056327
NEBL/BTC,1640971101200,2021-12-31T17:18:21.200Z,sell,2.447e-05,92.5,0.002263475
NEBL/BTC,1640971101200,2021-12-31T17:18:21.200Z,sell,2.446e-05,4.9,0.00011985400000000001
NEBL/BTC,1640971101200,2021-12-31T17:18:21.200Z,sell,2.444e-05,14.4,0.000351936
NEBL/BTC,1640971145808,2021-12-31T17:19:05.808Z,buy,2.45e-05,3.3,8.084999999999999e-05
NEBL/BTC,1640971145808,2021-12-31T17:19:05.808Z,buy,2.452e-05,6.9,0.000169188
NEBL/BTC,1640971145808,2021-12-31T17:19:05.808Z,buy,2.46e-05,6.9,0.00016974
NEBL/BTC,1640971145808,2021-12-31T17:19:05.808Z,buy,2.463e-05,117.6,0.002896488
NEBL/BTC,1640971751835,2021-12-31T17:29:11.835Z,buy,2.461e-05,20.0,0.0004922
NEBL/BTC,1640971767231,2021-12-31T17:29:27.231Z,buy,2.461e-05,44.0,0.00108284
NEBL/BTC,1640972001569,2021-12-31T17:33:21.569Z,sell,2.452e-05,6.9,0.000169188
NEBL/BTC,1640972001569,2021-12-31T17:33:21.569Z,sell,2.446e-05,118.8,0.002905848
NEBL/BTC,1640972001569,2021-12-31T17:33:21.569Z,sell,2.445e-05,52.7,0.001288515
NEBL/BTC,1640972001569,2021-12-31T17:33:21.569Z,sell,2.444e-05,158.9,0.003883516
NEBL/BTC,1640972551066,2021-12-31T17:42:31.066Z,buy,2.459e-05,4.7,0.000115573
NEBL/BTC,1640972551118,2021-12-31T17:42:31.118Z,buy,2.459e-05,1.5,3.6885e-05
NEBL/BTC,1640973455620,2021-12-31T17:57:35.620Z,buy,2.459e-05,6.0,0.00014754
NEBL/BTC,1640973455620,2021-12-31T17:57:35.620Z,buy,2.459e-05,6.0,0.00014754
NEBL/BTC,1640976093769,2021-12-31T18:41:33.769Z,buy,2.458e-05,58.9,0.0014477619999999998
NEBL/BTC,1640976114560,2021-12-31T18:41:54.560Z,sell,2.446e-05,59.0,0.0014431399999999999
