symbol,timestamp,datetime,side,price,amount,btc_volume
NULS/BTC,1580231502072,2020-01-28T17:11:42.072Z,buy,2.972e-05,4.0,0.00011888
NULS/BTC,1580231502072,2020-01-28T17:11:42.072Z,buy,2.973e-05,3266.0,0.09709818
NULS/BTC,1580231512635,2020-01-28T17:11:52.635Z,buy,2.973e-05,3000.0,0.08919
NULS/BTC,1580231521380,2020-01-28T17:12:01.380Z,buy,2.973e-05,915.0,0.02720295
NULS/BTC,1580231640274,2020-01-28T17:14:00.274Z,sell,2.969e-05,105.0,0.00311745
NULS/BTC,1580231743392,2020-01-28T17:15:43.392Z,buy,2.973e-05,324.0,0.00963252
NULS/BTC,1580231743392,2020-01-28T17:15:43.392Z,buy,2.977e-05,28.0,0.00083356
NULS/BTC,1580231743400,2020-01-28T17:15:43.400Z,buy,2.981e-05,11.0,0.00032791
NULS/BTC,1580231743453,2020-01-28T17:15:43.453Z,sell,2.975e-05,324.0,0.009639
NULS/BTC,1580231940471,2020-01-28T17:19:00.471Z,sell,2.976e-05,46.0,0.00136896
NULS/BTC,1580231965069,2020-01-28T17:19:25.069Z,buy,2.978e-05,381.0,0.011346179999999999
NULS/BTC,1580231966977,2020-01-28T17:19:26.977Z,buy,2.977e-05,991.0,0.029502070000000002
NULS/BTC,1580231987840,2020-01-28T17:19:47.840Z,buy,2.984e-05,57.0,0.0017008799999999999
NULS/BTC,1580231996085,2020-01-28T17:19:56.085Z,buy,2.984e-05,165.0,0.0049236
NULS/BTC,1580232013245,2020-01-28T17:20:13.245Z,sell,2.984e-05,60.0,0.0017904
NULS/BTC,1580232188047,2020-01-28T17:23:08.047Z,sell,2.984e-05,4.0,0.00011936
NULS/BTC,1580232400263,2020-01-28T17:26:40.263Z,sell,2.985e-05,60.0,0.001791
NULS/BTC,1580232521483,2020-01-28T17:28:41.483Z,sell,2.984e-05,4.0,0.00011936
NULS/BTC,1580232682513,2020-01-28T17:31:22.513Z,buy,2.986e-05,4.0,0.00011944
NULS/BTC,1580232722820,2020-01-28T17:32:02.820Z,buy,2.989e-05,29.0,0.00086681
NULS/BTC,1580232723105,2020-01-28T17:32:03.105Z,buy,2.991e-05,4.0,0.00011964
NULS/BTC,1580232723508,2020-01-28T17:32:03.508Z,buy,2.992e-05,229.0,0.006851680000000001
NULS/BTC,1580232723529,2020-01-28T17:32:03.529Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723560,2020-01-28T17:32:03.560Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723600,2020-01-28T17:32:03.600Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723687,2020-01-28T17:32:03.687Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723740,2020-01-28T17:32:03.740Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723844,2020-01-28T17:32:03.844Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723861,2020-01-28T17:32:03.861Z,buy,2.993e-05,229.0,0.00685397
NULS/BTC,1580232723867,2020-01-28T17:32:03.867Z,buy,2.993e-05,100.0,0.002993
NULS/BTC,1580232725388,2020-01-28T17:32:05.388Z,buy,2.996e-05,28.0,0.0008388800000000001
NULS/BTC,1580232725388,2020-01-28T17:32:05.388Z,buy,2.998e-05,5.0,0.0001499
NULS/BTC,1580232725388,2020-01-28T17:32:05.388Z,buy,3.001e-05,11.0,0.00033011
NULS/BTC,1580232730790,2020-01-28T17:32:10.790Z,buy,3.006e-05,1.0,3.006e-05
NULS/BTC,1580232731595,2020-01-28T17:32:11.595Z,sell,3.003e-05,6.0,0.00018018
