symbol,timestamp,datetime,side,price,amount,btc_volume
OAX/BTC,1602871570761,2020-10-16T18:06:10.761Z,sell,5.73e-06,37.0,0.00021201
OAX/BTC,1602871807258,2020-10-16T18:10:07.258Z,buy,5.78e-06,139.0,0.00080342
OAX/BTC,1602871807258,2020-10-16T18:10:07.258Z,buy,5.79e-06,1506.0,0.00871974
OAX/BTC,1602871807258,2020-10-16T18:10:07.258Z,buy,5.8e-06,2733.0,0.0158514
OAX/BTC,1602871807258,2020-10-16T18:10:07.258Z,buy,5.81e-06,11006.0,0.06394486
OAX/BTC,1602871807258,2020-10-16T18:10:07.258Z,buy,5.82e-06,11717.0,0.06819294000000001
OAX/BTC,1602871810678,2020-10-16T18:10:10.678Z,buy,5.82e-06,13601.0,0.07915782
OAX/BTC,1602871812969,2020-10-16T18:10:12.969Z,buy,5.82e-06,82.0,0.00047724000000000003
OAX/BTC,1602871812969,2020-10-16T18:10:12.969Z,buy,5.83e-06,344.0,0.0020055200000000002
OAX/BTC,1602871812969,2020-10-16T18:10:12.969Z,buy,5.84e-06,2645.0,0.0154468
OAX/BTC,1602871812969,2020-10-16T18:10:12.969Z,buy,5.85e-06,5096.0,0.0298116
OAX/BTC,1602871831682,2020-10-16T18:10:31.682Z,buy,5.86e-06,37.0,0.00021682
OAX/BTC,1602871901188,2020-10-16T18:11:41.188Z,sell,5.8e-06,280.0,0.001624
OAX/BTC,1602872150846,2020-10-16T18:15:50.846Z,buy,5.85e-06,26.0,0.0001521
OAX/BTC,1602872441001,2020-10-16T18:20:41.001Z,buy,5.85e-06,1255.0,0.00734175
OAX/BTC,1602872441001,2020-10-16T18:20:41.001Z,buy,5.86e-06,2897.0,0.01697642
OAX/BTC,1602872441080,2020-10-16T18:20:41.080Z,sell,5.86e-06,808.0,0.0047348799999999995
OAX/BTC,1602872906934,2020-10-16T18:28:26.934Z,buy,5.86e-06,930.0,0.0054497999999999994
OAX/BTC,1602872906952,2020-10-16T18:28:26.952Z,sell,5.86e-06,577.0,0.00338122
OAX/BTC,1602872907039,2020-10-16T18:28:27.039Z,sell,5.86e-06,790.0,0.0046294
OAX/BTC,1602872907135,2020-10-16T18:28:27.135Z,sell,5.86e-06,394.0,0.00230884
OAX/BTC,1602872907742,2020-10-16T18:28:27.742Z,sell,5.86e-06,196.0,0.0011485599999999999
OAX/BTC,1602872916616,2020-10-16T18:28:36.616Z,buy,5.87e-06,338.0,0.0019840599999999997
OAX/BTC,1602872916628,2020-10-16T18:28:36.628Z,sell,5.86e-06,260.0,0.0015236
OAX/BTC,1602872954291,2020-10-16T18:29:14.291Z,sell,5.86e-06,1266.0,0.00741876
OAX/BTC,1602872958708,2020-10-16T18:29:18.708Z,sell,5.82e-06,70.0,0.00040740000000000004
OAX/BTC,1602872975047,2020-10-16T18:29:35.047Z,buy,5.87e-06,69.0,0.00040502999999999996
OAX/BTC,1602873009147,2020-10-16T18:30:09.147Z,buy,5.87e-06,43.0,0.00025241
OAX/BTC,1602873087421,2020-10-16T18:31:27.421Z,sell,5.82e-06,77.0,0.00044814000000000003
OAX/BTC,1602873392976,2020-10-16T18:36:32.976Z,buy,5.86e-06,19.0,0.00011134
OAX/BTC,1602873392976,2020-10-16T18:36:32.976Z,buy,5.87e-06,10138.0,0.05951006
OAX/BTC,1602873535703,2020-10-16T18:38:55.703Z,sell,5.82e-06,14321.0,0.08334822
OAX/BTC,1602873535703,2020-10-16T18:38:55.703Z,sell,5.81e-06,87.0,0.00050547
OAX/BTC,1602873535703,2020-10-16T18:38:55.703Z,sell,5.79e-06,3875.0,0.022436249999999998
OAX/BTC,1602873535703,2020-10-16T18:38:55.703Z,sell,5.78e-06,9010.0,0.0520778
OAX/BTC,1602873535703,2020-10-16T18:38:55.703Z,sell,5.77e-06,8075.0,0.046592749999999995
