symbol,timestamp,datetime,side,price,amount,btc_volume
ONG/BTC,1610208023595,2021-01-09T16:00:23.595Z,buy,5.47e-06,373.0,0.00204031
ONG/BTC,1610208024386,2021-01-09T16:00:24.386Z,buy,5.46e-06,185.0,0.0010101
ONG/BTC,1610208026882,2021-01-09T16:00:26.882Z,sell,5.45e-06,3315.0,0.01806675
ONG/BTC,1610208037289,2021-01-09T16:00:37.289Z,buy,5.47e-06,650.0,0.0035555
ONG/BTC,1610208038996,2021-01-09T16:00:38.996Z,sell,5.46e-06,96.0,0.0005241600000000001
ONG/BTC,1610208039025,2021-01-09T16:00:39.025Z,sell,5.46e-06,96.0,0.0005241600000000001
ONG/BTC,1610208039052,2021-01-09T16:00:39.052Z,sell,5.46e-06,96.0,0.0005241600000000001
ONG/BTC,1610208039067,2021-01-09T16:00:39.067Z,sell,5.46e-06,85.0,0.0004641
ONG/BTC,1610208039091,2021-01-09T16:00:39.091Z,sell,5.45e-06,96.0,0.0005232
ONG/BTC,1610208111746,2021-01-09T16:01:51.746Z,sell,5.46e-06,463.0,0.00252798
ONG/BTC,1610208117875,2021-01-09T16:01:57.875Z,buy,5.47e-06,96.0,0.00052512
ONG/BTC,1610208134492,2021-01-09T16:02:14.492Z,buy,5.47e-06,96.0,0.00052512
ONG/BTC,1610208134509,2021-01-09T16:02:14.509Z,buy,5.47e-06,96.0,0.00052512
ONG/BTC,1610208179653,2021-01-09T16:02:59.653Z,sell,5.47e-06,689.0,0.00376883
ONG/BTC,1610208184592,2021-01-09T16:03:04.592Z,buy,5.48e-06,84.0,0.00046032
ONG/BTC,1610208186457,2021-01-09T16:03:06.457Z,sell,5.47e-06,367.0,0.0020074900000000002
ONG/BTC,1610208186558,2021-01-09T16:03:06.558Z,sell,5.47e-06,183.0,0.00100101
ONG/BTC,1610208210504,2021-01-09T16:03:30.504Z,buy,5.48e-06,70.0,0.0003836
ONG/BTC,1610208228968,2021-01-09T16:03:48.968Z,buy,5.48e-06,1683.0,0.00922284
ONG/BTC,1610208229104,2021-01-09T16:03:49.104Z,sell,5.48e-06,935.0,0.0051238
ONG/BTC,1610208230132,2021-01-09T16:03:50.132Z,sell,5.48e-06,913.0,0.00500324
ONG/BTC,1610208230146,2021-01-09T16:03:50.146Z,sell,5.48e-06,920.0,0.0050416
ONG/BTC,1610208230151,2021-01-09T16:03:50.151Z,sell,5.48e-06,913.0,0.00500324
ONG/BTC,1610208230181,2021-01-09T16:03:50.181Z,sell,5.48e-06,913.0,0.00500324
ONG/BTC,1610208230275,2021-01-09T16:03:50.275Z,sell,5.48e-06,1372.0,0.00751856
ONG/BTC,1610208230576,2021-01-09T16:03:50.576Z,sell,5.48e-06,409.0,0.00224132
ONG/BTC,1610208230675,2021-01-09T16:03:50.675Z,sell,5.47e-06,479.0,0.00262013
ONG/BTC,1610208230778,2021-01-09T16:03:50.778Z,sell,5.47e-06,239.0,0.00130733
ONG/BTC,1610208277455,2021-01-09T16:04:37.455Z,buy,5.48e-06,548.0,0.0030030400000000002
ONG/BTC,1610208277461,2021-01-09T16:04:37.461Z,sell,5.48e-06,121.0,0.00066308
ONG/BTC,1610208277465,2021-01-09T16:04:37.465Z,sell,5.48e-06,545.0,0.0029866
ONG/BTC,1610208419348,2021-01-09T16:06:59.348Z,sell,5.45e-06,419.0,0.00228355
ONG/BTC,1610208550169,2021-01-09T16:09:10.169Z,buy,5.46e-06,183.0,0.0009991800000000001
ONG/BTC,1610208550180,2021-01-09T16:09:10.180Z,buy,5.46e-06,232.0,0.00126672
ONG/BTC,1610208550689,2021-01-09T16:09:10.689Z,sell,5.45e-06,19.0,0.00010355000000000001
ONG/BTC,1610208550712,2021-01-09T16:09:10.712Z,buy,5.45e-06,121.0,0.00065945
ONG/BTC,1610208550723,2021-01-09T16:09:10.723Z,buy,5.45e-06,186.0,0.0010137
ONG/BTC,1610208550815,2021-01-09T16:09:10.815Z,buy,5.45e-06,27.0,0.00014715
ONG/BTC,1610208553485,2021-01-09T16:09:13.485Z,sell,5.44e-06,60.0,0.00032639999999999996
ONG/BTC,1610208553497,2021-01-09T16:09:13.497Z,buy,5.44e-06,172.0,0.0009356799999999999
ONG/BTC,1610208712298,2021-01-09T16:11:52.298Z,sell,5.45e-06,858.0,0.0046761
ONG/BTC,1610208723571,2021-01-09T16:12:03.571Z,buy,5.45e-06,1064.0,0.005798800000000001
ONG/BTC,1610208749142,2021-01-09T16:12:29.142Z,buy,5.46e-06,226.0,0.00123396
ONG/BTC,1610208749142,2021-01-09T16:12:29.142Z,buy,5.47e-06,858.0,0.00469326
ONG/BTC,1610208804189,2021-01-09T16:13:24.189Z,buy,5.49e-06,5.0,2.745e-05
ONG/BTC,1610208873092,2021-01-09T16:14:33.092Z,buy,5.49e-06,37.0,0.00020313
ONG/BTC,1610209163422,2021-01-09T16:19:23.422Z,buy,5.49e-06,19.0,0.00010431
ONG/BTC,1610209213783,2021-01-09T16:20:13.783Z,buy,5.47e-06,500.0,0.002735
ONG/BTC,1610209213783,2021-01-09T16:20:13.783Z,buy,5.48e-06,232.0,0.00127136
ONG/BTC,1610209293190,2021-01-09T16:21:33.190Z,sell,5.47e-06,19.0,0.00010393
ONG/BTC,1610209519405,2021-01-09T16:25:19.405Z,sell,5.46e-06,19.0,0.00010374
ONG/BTC,1610209519406,2021-01-09T16:25:19.406Z,sell,5.44e-06,197.0,0.00107168
