symbol,timestamp,datetime,side,price,amount,btc_volume
POA/BTC,1583866815721,2020-03-10T19:00:15.721Z,buy,1.63e-06,6251.0,0.010189130000000001
POA/BTC,1583866832412,2020-03-10T19:00:32.412Z,buy,1.63e-06,3125.0,0.00509375
POA/BTC,1583868149327,2020-03-10T19:22:29.327Z,sell,1.62e-06,105.0,0.0001701
POA/BTC,1583868662646,2020-03-10T19:31:02.646Z,buy,1.63e-06,74688.0,0.12174144
POA/BTC,1583868736684,2020-03-10T19:32:16.684Z,sell,1.62e-06,436.0,0.00070632
POA/BTC,1583868950312,2020-03-10T19:35:50.312Z,buy,1.63e-06,62.0,0.00010106
POA/BTC,1583869420202,2020-03-10T19:43:40.202Z,buy,1.63e-06,125.0,0.00020375000000000002
POA/BTC,1583869580208,2020-03-10T19:46:20.208Z,buy,1.64e-06,62.0,0.00010168
POA/BTC,1583870322041,2020-03-10T19:58:42.041Z,sell,1.63e-06,4313.0,0.00703019
POA/BTC,1583870322041,2020-03-10T19:58:42.041Z,sell,1.62e-06,2959.0,0.0047935799999999995
POA/BTC,1583870327521,2020-03-10T19:58:47.521Z,buy,1.64e-06,62.0,0.00010168
POA/BTC,1583870327521,2020-03-10T19:58:47.521Z,buy,1.64e-06,62.0,0.00010168
POA/BTC,1583870915424,2020-03-10T20:08:35.424Z,buy,1.64e-06,550.0,0.000902
POA/BTC,1583870924987,2020-03-10T20:08:44.987Z,sell,1.63e-06,200.0,0.000326
POA/BTC,1583870928119,2020-03-10T20:08:48.119Z,buy,1.64e-06,3049.0,0.00500036
POA/BTC,1583870934843,2020-03-10T20:08:54.843Z,sell,1.63e-06,99.0,0.00016137
POA/BTC,1583871905718,2020-03-10T20:25:05.718Z,sell,1.63e-06,99.0,0.00016137
POA/BTC,1583872057055,2020-03-10T20:27:37.055Z,buy,1.64e-06,62.0,0.00010168
POA/BTC,1583872489734,2020-03-10T20:34:49.734Z,buy,1.64e-06,11675.0,0.019147
POA/BTC,1583872713385,2020-03-10T20:38:33.385Z,sell,1.63e-06,274.0,0.00044662
POA/BTC,1583872827709,2020-03-10T20:40:27.709Z,buy,1.64e-06,2439.0,0.00399996
POA/BTC,1583872991533,2020-03-10T20:43:11.533Z,buy,1.64e-06,5748.0,0.00942672
POA/BTC,1583873240375,2020-03-10T20:47:20.375Z,buy,1.65e-06,200.0,0.00033
POA/BTC,1583873243332,2020-03-10T20:47:23.332Z,sell,1.64e-06,176.0,0.00028864
POA/BTC,1583873349070,2020-03-10T20:49:09.070Z,buy,1.65e-06,62.0,0.0001023
POA/BTC,1583873478193,2020-03-10T20:51:18.193Z,sell,1.63e-06,123.0,0.00020049
POA/BTC,1583873597330,2020-03-10T20:53:17.330Z,buy,1.65e-06,1212.0,0.0019998
POA/BTC,1583873657462,2020-03-10T20:54:17.462Z,sell,1.64e-06,61.0,0.00010004
POA/BTC,1583873862108,2020-03-10T20:57:42.108Z,buy,1.64e-06,61.0,0.00010004
POA/BTC,1583873862173,2020-03-10T20:57:42.173Z,buy,1.65e-06,4362.0,0.0071973
POA/BTC,1583873863249,2020-03-10T20:57:43.249Z,sell,1.64e-06,584.0,0.00095776
POA/BTC,1583873864080,2020-03-10T20:57:44.080Z,sell,1.64e-06,77.0,0.00012628
POA/BTC,1583873865445,2020-03-10T20:57:45.445Z,sell,1.64e-06,1651.0,0.00270764
POA/BTC,1583873866696,2020-03-10T20:57:46.696Z,sell,1.64e-06,1118.0,0.00183352
POA/BTC,1583873867886,2020-03-10T20:57:47.886Z,sell,1.64e-06,3313.0,0.00543332
POA/BTC,1583873867886,2020-03-10T20:57:47.886Z,sell,1.64e-06,3313.0,0.00543332
POA/BTC,1583874207789,2020-03-10T21:03:27.789Z,sell,1.64e-06,563.0,0.0009233199999999999
POA/BTC,1583874234467,2020-03-10T21:03:54.467Z,sell,1.64e-06,438.0,0.0007183199999999999
POA/BTC,1583874586354,2020-03-10T21:09:46.354Z,buy,1.65e-06,14395.0,0.023751750000000002
POA/BTC,1583874590489,2020-03-10T21:09:50.489Z,buy,1.65e-06,3512.0,0.0057948
POA/BTC,1583874594962,2020-03-10T21:09:54.962Z,buy,1.65e-06,146.0,0.0002409
POA/BTC,1583874594962,2020-03-10T21:09:54.962Z,buy,1.66e-06,732.0,0.00121512
POA/BTC,1583874596369,2020-03-10T21:09:56.369Z,buy,1.66e-06,215.0,0.0003569
POA/BTC,1583874597756,2020-03-10T21:09:57.756Z,buy,1.66e-06,72.0,0.00011952
POA/BTC,1583874604708,2020-03-10T21:10:04.708Z,buy,1.66e-06,7056.0,0.01171296
POA/BTC,1583874629760,2020-03-10T21:10:29.760Z,sell,1.65e-06,1876.0,0.0030954000000000003
POA/BTC,1583874643189,2020-03-10T21:10:43.189Z,sell,1.64e-06,2516.0,0.00412624
POA/BTC,1583874675592,2020-03-10T21:11:15.592Z,sell,1.64e-06,62.0,0.00010168
POA/BTC,1583874745507,2020-03-10T21:12:25.507Z,sell,1.64e-06,23663.0,0.03880732
POA/BTC,1583874892653,2020-03-10T21:14:52.653Z,buy,1.64e-06,62.0,0.00010168
POA/BTC,1583875207297,2020-03-10T21:20:07.297Z,sell,1.64e-06,61.0,0.00010004
POA/BTC,1583875449192,2020-03-10T21:24:09.192Z,buy,1.64e-06,23084.0,0.03785776
POA/BTC,1583875881787,2020-03-10T21:31:21.787Z,buy,1.64e-06,10874.0,0.01783336
