symbol,timestamp,datetime,side,price,amount,btc_volume
PPT/BTC,1591459828979,2020-06-06T16:10:28.979Z,buy,4.028e-05,1263.0,0.05087364
PPT/BTC,1591460948763,2020-06-06T16:29:08.763Z,buy,4.025e-05,3.0,0.00012075000000000001
PPT/BTC,1591460949006,2020-06-06T16:29:09.006Z,buy,4.025e-05,300.0,0.012075
PPT/BTC,1591461651909,2020-06-06T16:40:51.909Z,buy,4.025e-05,78.0,0.0031395000000000004
PPT/BTC,1591461651930,2020-06-06T16:40:51.930Z,sell,4.025e-05,606.0,0.0243915
PPT/BTC,1591461651946,2020-06-06T16:40:51.946Z,sell,4.025e-05,200.0,0.00805
PPT/BTC,1591461651947,2020-06-06T16:40:51.947Z,sell,4.025e-05,402.0,0.0161805
PPT/BTC,1591462234170,2020-06-06T16:50:34.170Z,buy,4.025e-05,46.0,0.0018515
PPT/BTC,1591462234170,2020-06-06T16:50:34.170Z,buy,4.026e-05,60.0,0.0024156
PPT/BTC,1591462241449,2020-06-06T16:50:41.449Z,buy,4.026e-05,106.0,0.00426756
PPT/BTC,1591462251767,2020-06-06T16:50:51.767Z,buy,4.026e-05,106.0,0.00426756
PPT/BTC,1591462297031,2020-06-06T16:51:37.031Z,buy,4.026e-05,106.0,0.00426756
PPT/BTC,1591462299003,2020-06-06T16:51:39.003Z,buy,4.026e-05,106.0,0.00426756
PPT/BTC,1591462301207,2020-06-06T16:51:41.207Z,buy,4.026e-05,106.0,0.00426756
PPT/BTC,1591462304507,2020-06-06T16:51:44.507Z,buy,4.026e-05,70.0,0.0028182
PPT/BTC,1591462307846,2020-06-06T16:51:47.846Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462309858,2020-06-06T16:51:49.858Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462311407,2020-06-06T16:51:51.407Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462313389,2020-06-06T16:51:53.389Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462318716,2020-06-06T16:51:58.716Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462320780,2020-06-06T16:52:00.780Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462323334,2020-06-06T16:52:03.334Z,buy,4.027e-05,51.0,0.00205377
PPT/BTC,1591462326456,2020-06-06T16:52:06.456Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462328607,2020-06-06T16:52:08.607Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462331873,2020-06-06T16:52:11.873Z,buy,4.027e-05,105.0,0.00422835
PPT/BTC,1591462333358,2020-06-06T16:52:13.358Z,buy,4.027e-05,75.0,0.00302025
PPT/BTC,1591462335520,2020-06-06T16:52:15.520Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591462340497,2020-06-06T16:52:20.497Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591462343297,2020-06-06T16:52:23.297Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591462345318,2020-06-06T16:52:25.318Z,buy,4.028e-05,79.0,0.00318212
PPT/BTC,1591462391908,2020-06-06T16:53:11.908Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591462410299,2020-06-06T16:53:30.299Z,buy,4.028e-05,97.0,0.00390716
PPT/BTC,1591462423274,2020-06-06T16:53:43.274Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591462549231,2020-06-06T16:55:49.231Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591462569963,2020-06-06T16:56:09.963Z,buy,4.028e-05,105.0,0.0042294
PPT/BTC,1591463004546,2020-06-06T17:03:24.546Z,buy,4.028e-05,5.0,0.00020140000000000002
PPT/BTC,1591463107868,2020-06-06T17:05:07.868Z,buy,4.028e-05,3.0,0.00012084
PPT/BTC,1591463123511,2020-06-06T17:05:23.511Z,buy,4.028e-05,3.0,0.00012084
PPT/BTC,1591463123511,2020-06-06T17:05:23.511Z,buy,4.028e-05,3.0,0.00012084
PPT/BTC,1591463206388,2020-06-06T17:06:46.388Z,sell,4.01e-05,3.0,0.0001203
PPT/BTC,1591463206388,2020-06-06T17:06:46.388Z,sell,4e-05,3.0,0.00012000000000000002
PPT/BTC,1591463206388,2020-06-06T17:06:46.388Z,sell,3.996e-05,240.0,0.009590399999999999
PPT/BTC,1591463206388,2020-06-06T17:06:46.388Z,sell,3.995e-05,46.0,0.0018377
PPT/BTC,1591463206388,2020-06-06T17:06:46.388Z,sell,3.99e-05,1234.0,0.0492366
PPT/BTC,1591463211966,2020-06-06T17:06:51.966Z,sell,3.991e-05,328.0,0.013090480000000002
PPT/BTC,1591463211966,2020-06-06T17:06:51.966Z,sell,3.989e-05,399.0,0.01591611
PPT/BTC,1591464109987,2020-06-06T17:21:49.987Z,buy,4.015e-05,216.0,0.0086724
PPT/BTC,1591464127330,2020-06-06T17:22:07.330Z,buy,4.015e-05,24.0,0.0009636
PPT/BTC,1591464127330,2020-06-06T17:22:07.330Z,buy,4.016e-05,3.0,0.00012048000000000001
PPT/BTC,1591464127330,2020-06-06T17:22:07.330Z,buy,4.023e-05,188.0,0.00756324
PPT/BTC,1591464128672,2020-06-06T17:22:08.672Z,buy,4.023e-05,186.0,0.00748278
PPT/BTC,1591464130965,2020-06-06T17:22:10.965Z,buy,4.025e-05,215.0,0.00865375
PPT/BTC,1591464132524,2020-06-06T17:22:12.524Z,buy,4.025e-05,215.0,0.00865375
PPT/BTC,1591464134029,2020-06-06T17:22:14.029Z,buy,4.025e-05,92.0,0.003703
PPT/BTC,1591464168200,2020-06-06T17:22:48.200Z,buy,4.027e-05,4.0,0.00016108
PPT/BTC,1591464168240,2020-06-06T17:22:48.240Z,sell,4.027e-05,567.0,0.02283309
PPT/BTC,1591464172138,2020-06-06T17:22:52.138Z,sell,4.027e-05,384.0,0.01546368
PPT/BTC,1591464173543,2020-06-06T17:22:53.543Z,sell,4.027e-05,266.0,0.01071182
PPT/BTC,1591464174543,2020-06-06T17:22:54.543Z,sell,4.027e-05,185.0,0.0074499499999999995
PPT/BTC,1591464179743,2020-06-06T17:22:59.743Z,sell,4.027e-05,124.0,0.00499348
PPT/BTC,1591464184235,2020-06-06T17:23:04.235Z,sell,4.027e-05,83.0,0.00334241
PPT/BTC,1591464188243,2020-06-06T17:23:08.243Z,sell,4.027e-05,57.0,0.00229539
PPT/BTC,1591464190143,2020-06-06T17:23:10.143Z,sell,4.027e-05,39.0,0.0015705299999999999
PPT/BTC,1591464191843,2020-06-06T17:23:11.843Z,sell,4.027e-05,27.0,0.0010872899999999999
PPT/BTC,1591464202001,2020-06-06T17:23:22.001Z,sell,4.027e-05,205.0,0.00825535
PPT/BTC,1591464202010,2020-06-06T17:23:22.010Z,sell,4.027e-05,161.0,0.00648347
PPT/BTC,1591464203039,2020-06-06T17:23:23.039Z,sell,4.027e-05,75.0,0.00302025
PPT/BTC,1591465297140,2020-06-06T17:41:37.140Z,sell,4.027e-05,68.0,0.00273836
PPT/BTC,1591465297154,2020-06-06T17:41:37.154Z,sell,4.027e-05,6.0,0.00024162
PPT/BTC,1591465398504,2020-06-06T17:43:18.504Z,buy,4.028e-05,257.0,0.01035196
PPT/BTC,1591465455433,2020-06-06T17:44:15.433Z,buy,4.028e-05,64.0,0.00257792
PPT/BTC,1591465698875,2020-06-06T17:48:18.875Z,buy,4.028e-05,74.0,0.00298072
PPT/BTC,1591465807641,2020-06-06T17:50:07.641Z,buy,4.028e-05,41.0,0.00165148
PPT/BTC,1591465906875,2020-06-06T17:51:46.875Z,sell,4.005e-05,41.0,0.00164205
PPT/BTC,1591465962772,2020-06-06T17:52:42.772Z,buy,4.019e-05,74.0,0.00297406
PPT/BTC,1591466054931,2020-06-06T17:54:14.931Z,buy,4.028e-05,24.0,0.00096672
PPT/BTC,1591466086012,2020-06-06T17:54:46.012Z,buy,4.028e-05,10.0,0.00040280000000000003
PPT/BTC,1591466086012,2020-06-06T17:54:46.012Z,buy,4.028e-05,10.0,0.00040280000000000003
PPT/BTC,1591466924357,2020-06-06T18:08:44.357Z,sell,4.005e-05,6.0,0.00024029999999999999
PPT/BTC,1591467267848,2020-06-06T18:14:27.848Z,sell,4.005e-05,20.0,0.000801
PPT/BTC,1591467267848,2020-06-06T18:14:27.848Z,sell,4.002e-05,3.0,0.00012006
PPT/BTC,1591467267848,2020-06-06T18:14:27.848Z,sell,4e-05,3.0,0.00012000000000000002
PPT/BTC,1591467267848,2020-06-06T18:14:27.848Z,sell,3.991e-05,46.0,0.0018358600000000001
PPT/BTC,1591467267848,2020-06-06T18:14:27.848Z,sell,3.99e-05,30.0,0.001197
PPT/BTC,1591467907984,2020-06-06T18:25:07.984Z,buy,4.016e-05,3.0,0.00012048000000000001
PPT/BTC,1591467907984,2020-06-06T18:25:07.984Z,buy,4.027e-05,15.0,0.00060405
PPT/BTC,1591469045092,2020-06-06T18:44:05.092Z,sell,4e-05,3.0,0.00012000000000000002
PPT/BTC,1591469045092,2020-06-06T18:44:05.092Z,sell,3.994e-05,250.0,0.009985
PPT/BTC,1591469045092,2020-06-06T18:44:05.092Z,sell,4e-05,3.0,0.00012000000000000002
PPT/BTC,1591469045092,2020-06-06T18:44:05.092Z,sell,3.994e-05,250.0,0.009985
PPT/BTC,1591469847906,2020-06-06T18:57:27.906Z,buy,4.016e-05,3.0,0.00012048000000000001
PPT/BTC,1591469847906,2020-06-06T18:57:27.906Z,buy,4.02e-05,250.0,0.01005
PPT/BTC,1591469847906,2020-06-06T18:57:27.906Z,buy,4.021e-05,32.0,0.00128672
PPT/BTC,1591469847906,2020-06-06T18:57:27.906Z,buy,4.026e-05,340.0,0.0136884
PPT/BTC,1591470511972,2020-06-06T19:08:31.972Z,buy,4.026e-05,3.0,0.00012077999999999999
PPT/BTC,1591470511972,2020-06-06T19:08:31.972Z,buy,4.028e-05,47.0,0.00189316
PPT/BTC,1591471166766,2020-06-06T19:19:26.766Z,buy,4.027e-05,40.0,0.0016108
PPT/BTC,1591471219169,2020-06-06T19:20:19.169Z,buy,4.027e-05,50.0,0.0020135
PPT/BTC,1591471219169,2020-06-06T19:20:19.169Z,buy,4.028e-05,119.0,0.00479332
PPT/BTC,1591471219169,2020-06-06T19:20:19.169Z,buy,4.032e-05,3.0,0.00012096000000000001
PPT/BTC,1591471219169,2020-06-06T19:20:19.169Z,buy,4.034e-05,23.0,0.0009278199999999999
PPT/BTC,1591471219169,2020-06-06T19:20:19.169Z,buy,4.035e-05,19.0,0.00076665
PPT/BTC,1591471249606,2020-06-06T19:20:49.606Z,buy,4.035e-05,3.0,0.00012104999999999999
