symbol,timestamp,datetime,side,price,amount,btc_volume
QLC/BTC,1599235202462,2020-09-04T16:00:02.462Z,buy,1.95e-06,190.0,0.0003705
QLC/BTC,1599235202698,2020-09-04T16:00:02.698Z,buy,1.95e-06,3799.0,0.00740805
QLC/BTC,1599235212040,2020-09-04T16:00:12.040Z,sell,1.95e-06,5201.0,0.01014195
QLC/BTC,1599235212718,2020-09-04T16:00:12.718Z,sell,1.94e-06,5201.0,0.01008994
QLC/BTC,1599235215987,2020-09-04T16:00:15.987Z,sell,1.94e-06,10052.0,0.01950088
QLC/BTC,1599235217454,2020-09-04T16:00:17.454Z,sell,1.94e-06,1042.0,0.00202148
QLC/BTC,1599235229737,2020-09-04T16:00:29.737Z,buy,1.96e-06,680.0,0.0013327999999999999
QLC/BTC,1599235249666,2020-09-04T16:00:49.666Z,sell,1.95e-06,2673.0,0.00521235
QLC/BTC,1599235298022,2020-09-04T16:01:38.022Z,buy,1.96e-06,5252.0,0.01029392
QLC/BTC,1599235307961,2020-09-04T16:01:47.961Z,buy,1.95e-06,12423.0,0.02422485
QLC/BTC,1599235307961,2020-09-04T16:01:47.961Z,buy,1.96e-06,29462.0,0.057745519999999995
QLC/BTC,1599235328476,2020-09-04T16:02:08.476Z,buy,1.95e-06,1319.0,0.0025720499999999998
QLC/BTC,1599235344483,2020-09-04T16:02:24.483Z,sell,1.94e-06,365.0,0.0007081
QLC/BTC,1599235351486,2020-09-04T16:02:31.486Z,sell,1.94e-06,563.0,0.00109222
QLC/BTC,1599235428963,2020-09-04T16:03:48.963Z,buy,1.95e-06,1673.0,0.00326235
QLC/BTC,1599235429200,2020-09-04T16:03:49.200Z,buy,1.95e-06,3201.0,0.00624195
QLC/BTC,1599235439472,2020-09-04T16:03:59.472Z,sell,1.95e-06,4556.0,0.0088842
QLC/BTC,1599235442165,2020-09-04T16:04:02.165Z,sell,1.95e-06,740.0,0.001443
QLC/BTC,1599235468195,2020-09-04T16:04:28.195Z,buy,1.96e-06,428.0,0.00083888
QLC/BTC,1599235482009,2020-09-04T16:04:42.009Z,buy,1.96e-06,880.0,0.0017247999999999999
QLC/BTC,1599235487613,2020-09-04T16:04:47.613Z,buy,1.96e-06,48205.0,0.09448179999999999
QLC/BTC,1599235511567,2020-09-04T16:05:11.567Z,sell,1.95e-06,102.0,0.0001989
QLC/BTC,1599235520872,2020-09-04T16:05:20.872Z,sell,1.95e-06,1926.0,0.0037557
QLC/BTC,1599235524881,2020-09-04T16:05:24.881Z,buy,1.96e-06,878.0,0.00172088
QLC/BTC,1599235545853,2020-09-04T16:05:45.853Z,buy,1.96e-06,808.0,0.0015836799999999999
QLC/BTC,1599235559654,2020-09-04T16:05:59.654Z,sell,1.95e-06,304.0,0.0005928
QLC/BTC,1599235631026,2020-09-04T16:07:11.026Z,sell,1.95e-06,342.0,0.0006669
QLC/BTC,1599235655293,2020-09-04T16:07:35.293Z,sell,1.95e-06,110.0,0.0002145
QLC/BTC,1599235670098,2020-09-04T16:07:50.098Z,sell,1.95e-06,253.0,0.00049335
QLC/BTC,1599235670107,2020-09-04T16:07:50.107Z,sell,1.95e-06,655.0,0.00127725
QLC/BTC,1599235670958,2020-09-04T16:07:50.958Z,buy,1.96e-06,1357.0,0.00265972
QLC/BTC,1599235672100,2020-09-04T16:07:52.100Z,buy,1.96e-06,862.0,0.00168952
QLC/BTC,1599235695634,2020-09-04T16:08:15.634Z,sell,1.95e-06,291.0,0.0005674499999999999
QLC/BTC,1599235696220,2020-09-04T16:08:16.220Z,buy,1.96e-06,1265.0,0.0024793999999999997
QLC/BTC,1599235696962,2020-09-04T16:08:16.962Z,sell,1.95e-06,652.0,0.0012714
QLC/BTC,1599235701021,2020-09-04T16:08:21.021Z,sell,1.95e-06,4131.0,0.00805545
QLC/BTC,1599235701923,2020-09-04T16:08:21.923Z,buy,1.96e-06,33642.0,0.06593832
QLC/BTC,1599235758307,2020-09-04T16:09:18.307Z,sell,1.95e-06,40210.0,0.0784095
QLC/BTC,1599235814849,2020-09-04T16:10:14.849Z,sell,1.95e-06,655.0,0.00127725
