symbol,timestamp,datetime,side,price,amount,btc_volume
RCN/BTC,1610125257478,2021-01-08T17:00:57.478Z,buy,1.17e-06,1390.0,0.0016263
RCN/BTC,1610125273228,2021-01-08T17:01:13.228Z,sell,1.16e-06,778.0,0.0009024799999999999
RCN/BTC,1610125274035,2021-01-08T17:01:14.035Z,buy,1.17e-06,1314.0,0.00153738
RCN/BTC,1610125317810,2021-01-08T17:01:57.810Z,buy,1.17e-06,1405.0,0.00164385
RCN/BTC,1610125359057,2021-01-08T17:02:39.057Z,buy,1.17e-06,1662.0,0.00194454
RCN/BTC,1610125379241,2021-01-08T17:02:59.241Z,sell,1.17e-06,1572.0,0.00183924
RCN/BTC,1610125422475,2021-01-08T17:03:42.475Z,buy,1.18e-06,2045.0,0.0024131
RCN/BTC,1610125426928,2021-01-08T17:03:46.928Z,sell,1.17e-06,488.0,0.00057096
RCN/BTC,1610125516599,2021-01-08T17:05:16.599Z,sell,1.17e-06,523.0,0.00061191
RCN/BTC,1610125538826,2021-01-08T17:05:38.826Z,sell,1.17e-06,4137.0,0.00484029
RCN/BTC,1610125558741,2021-01-08T17:05:58.741Z,buy,1.18e-06,1628.0,0.00192104
RCN/BTC,1610125644246,2021-01-08T17:07:24.246Z,buy,1.18e-06,86.0,0.00010148
RCN/BTC,1610125667652,2021-01-08T17:07:47.652Z,sell,1.17e-06,1661.0,0.00194337
RCN/BTC,1610125667963,2021-01-08T17:07:47.963Z,sell,1.17e-06,3130.0,0.0036621
RCN/BTC,1610125682587,2021-01-08T17:08:02.587Z,buy,1.18e-06,157.0,0.00018526
RCN/BTC,1610125687526,2021-01-08T17:08:07.526Z,sell,1.17e-06,1571.0,0.00183807
RCN/BTC,1610125701106,2021-01-08T17:08:21.106Z,sell,1.17e-06,940.0,0.0010998
RCN/BTC,1610125706952,2021-01-08T17:08:26.952Z,sell,1.17e-06,4325.0,0.0050602500000000005
RCN/BTC,1610125716675,2021-01-08T17:08:36.675Z,sell,1.17e-06,7079.0,0.00828243
RCN/BTC,1610125737442,2021-01-08T17:08:57.442Z,sell,1.17e-06,200.0,0.000234
RCN/BTC,1610125797108,2021-01-08T17:09:57.108Z,buy,1.18e-06,468.0,0.00055224
RCN/BTC,1610125814612,2021-01-08T17:10:14.612Z,sell,1.17e-06,2679.0,0.00313443
RCN/BTC,1610125832353,2021-01-08T17:10:32.353Z,sell,1.17e-06,30802.0,0.03603834
RCN/BTC,1610125864430,2021-01-08T17:11:04.430Z,buy,1.17e-06,2632.0,0.00307944
RCN/BTC,1610125903540,2021-01-08T17:11:43.540Z,buy,1.17e-06,103.0,0.00012051
RCN/BTC,1610126017776,2021-01-08T17:13:37.776Z,buy,1.17e-06,3343.0,0.00391131
RCN/BTC,1610126057686,2021-01-08T17:14:17.686Z,buy,1.17e-06,156.0,0.00018252
RCN/BTC,1610126156949,2021-01-08T17:15:56.949Z,buy,1.17e-06,962.0,0.00112554
RCN/BTC,1610126177741,2021-01-08T17:16:17.741Z,buy,1.17e-06,132.0,0.00015444
RCN/BTC,1610126236331,2021-01-08T17:17:16.331Z,buy,1.17e-06,309.0,0.00036153
RCN/BTC,1610126298826,2021-01-08T17:18:18.826Z,buy,1.17e-06,158.0,0.00018486000000000002
RCN/BTC,1610126299840,2021-01-08T17:18:19.840Z,sell,1.16e-06,1465.0,0.0016993999999999998
RCN/BTC,1610126338462,2021-01-08T17:18:58.462Z,buy,1.17e-06,149.0,0.00017433
RCN/BTC,1610126408740,2021-01-08T17:20:08.740Z,buy,1.17e-06,116.0,0.00013572
RCN/BTC,1610126419614,2021-01-08T17:20:19.614Z,sell,1.16e-06,4463.0,0.00517708
RCN/BTC,1610126458321,2021-01-08T17:20:58.321Z,buy,1.17e-06,132.0,0.00015444
RCN/BTC,1610126535618,2021-01-08T17:22:15.618Z,buy,1.17e-06,1565.0,0.00183105
RCN/BTC,1610126578665,2021-01-08T17:22:58.665Z,buy,1.17e-06,658.0,0.00076986
RCN/BTC,1610126634388,2021-01-08T17:23:54.388Z,buy,1.17e-06,3015.0,0.00352755
RCN/BTC,1610126696891,2021-01-08T17:24:56.891Z,buy,1.17e-06,279.0,0.00032643
RCN/BTC,1610126776710,2021-01-08T17:26:16.710Z,buy,1.17e-06,733.0,0.00085761
RCN/BTC,1610126817053,2021-01-08T17:26:57.053Z,buy,1.17e-06,247.0,0.00028899
RCN/BTC,1610126848409,2021-01-08T17:27:28.409Z,sell,1.16e-06,8743.0,0.010141879999999999
RCN/BTC,1610126939973,2021-01-08T17:28:59.973Z,buy,1.17e-06,5113.0,0.00598221
RCN/BTC,1610126939982,2021-01-08T17:28:59.982Z,buy,1.17e-06,725.0,0.00084825
RCN/BTC,1610126993837,2021-01-08T17:29:53.837Z,buy,1.18e-06,254.0,0.00029971999999999996
RCN/BTC,1610126996804,2021-01-08T17:29:56.804Z,buy,1.18e-06,290.0,0.00034219999999999997
RCN/BTC,1610127060575,2021-01-08T17:31:00.575Z,sell,1.17e-06,1041.0,0.00121797
RCN/BTC,1610127062427,2021-01-08T17:31:02.427Z,sell,1.17e-06,7007.0,0.00819819
RCN/BTC,1610127062984,2021-01-08T17:31:02.984Z,sell,1.17e-06,648.0,0.00075816
RCN/BTC,1610127077224,2021-01-08T17:31:17.224Z,buy,1.17e-06,131.0,0.00015327
RCN/BTC,1610127116123,2021-01-08T17:31:56.123Z,buy,1.17e-06,233.0,0.00027261
RCN/BTC,1610127237183,2021-01-08T17:33:57.183Z,sell,1.16e-06,233.0,0.00027027999999999997
RCN/BTC,1610127263602,2021-01-08T17:34:23.602Z,sell,1.16e-06,17737.0,0.02057492
RCN/BTC,1610127316868,2021-01-08T17:35:16.868Z,buy,1.17e-06,212.0,0.00024804
RCN/BTC,1610127319914,2021-01-08T17:35:19.914Z,buy,1.17e-06,235.0,0.00027495
RCN/BTC,1610127476651,2021-01-08T17:37:56.651Z,sell,1.16e-06,143.0,0.00016587999999999998
RCN/BTC,1610127515430,2021-01-08T17:38:35.430Z,buy,1.17e-06,12108.0,0.014166360000000001
RCN/BTC,1610127515430,2021-01-08T17:38:35.430Z,buy,1.18e-06,8299.0,0.009792819999999999
RCN/BTC,1610127538515,2021-01-08T17:38:58.515Z,buy,1.18e-06,127.0,0.00014985999999999998
RCN/BTC,1610127568747,2021-01-08T17:39:28.747Z,sell,1.16e-06,494.0,0.0005730399999999999
RCN/BTC,1610127597838,2021-01-08T17:39:57.838Z,buy,1.18e-06,158.0,0.00018643999999999998
RCN/BTC,1610127600167,2021-01-08T17:40:00.167Z,sell,1.16e-06,254.0,0.00029464
RCN/BTC,1610127673318,2021-01-08T17:41:13.318Z,buy,1.17e-06,256.0,0.00029952
RCN/BTC,1610127699966,2021-01-08T17:41:39.966Z,sell,1.16e-06,256.0,0.00029696
RCN/BTC,1610127856682,2021-01-08T17:44:16.682Z,buy,1.17e-06,127.0,0.00014859
RCN/BTC,1610127958294,2021-01-08T17:45:58.294Z,sell,1.16e-06,151.0,0.00017516
RCN/BTC,1610127978455,2021-01-08T17:46:18.455Z,buy,1.17e-06,133.0,0.00015561
RCN/BTC,1610128096421,2021-01-08T17:48:16.421Z,sell,1.16e-06,32609.0,0.037826439999999996
RCN/BTC,1610128096696,2021-01-08T17:48:16.696Z,buy,1.17e-06,2696.0,0.00315432
RCN/BTC,1610128105454,2021-01-08T17:48:25.454Z,sell,1.16e-06,10127.0,0.011747319999999999
RCN/BTC,1610128216336,2021-01-08T17:50:16.336Z,buy,1.17e-06,1851.0,0.00216567
RCN/BTC,1610128241281,2021-01-08T17:50:41.281Z,buy,1.17e-06,256.0,0.00029952
RCN/BTC,1610128256866,2021-01-08T17:50:56.866Z,buy,1.17e-06,1322.0,0.00154674
RCN/BTC,1610128272915,2021-01-08T17:51:12.915Z,sell,1.15e-06,255.0,0.00029325
RCN/BTC,1610128300198,2021-01-08T17:51:40.198Z,sell,1.16e-06,87.0,0.00010091999999999999
RCN/BTC,1610128319517,2021-01-08T17:51:59.517Z,buy,1.17e-06,133.0,0.00015561
RCN/BTC,1610128382738,2021-01-08T17:53:02.738Z,buy,1.17e-06,87.0,0.00010179
RCN/BTC,1610128382781,2021-01-08T17:53:02.781Z,buy,1.17e-06,12820.0,0.0149994
RCN/BTC,1610128385630,2021-01-08T17:53:05.630Z,buy,1.17e-06,1909.0,0.00223353
RCN/BTC,1610128437021,2021-01-08T17:53:57.021Z,buy,1.17e-06,526.0,0.00061542
RCN/BTC,1610128498423,2021-01-08T17:54:58.423Z,buy,1.17e-06,265.0,0.00031005000000000003
RCN/BTC,1610128518619,2021-01-08T17:55:18.619Z,buy,1.17e-06,265.0,0.00031005000000000003
RCN/BTC,1610128616578,2021-01-08T17:56:56.578Z,buy,1.17e-06,385.0,0.00045045
RCN/BTC,1610128639884,2021-01-08T17:57:19.884Z,sell,1.16e-06,1536.0,0.0017817599999999999
RCN/BTC,1610128679339,2021-01-08T17:57:59.339Z,buy,1.17e-06,279.0,0.00032643
RCN/BTC,1610128725602,2021-01-08T17:58:45.602Z,buy,1.17e-06,5722.0,0.00669474
RCN/BTC,1610128740008,2021-01-08T17:59:00.008Z,buy,1.17e-06,1880.0,0.0021996
RCN/BTC,1610128741474,2021-01-08T17:59:01.474Z,buy,1.17e-06,10596.0,0.01239732
RCN/BTC,1610128741474,2021-01-08T17:59:01.474Z,buy,1.17e-06,10596.0,0.01239732
RCN/BTC,1610128820559,2021-01-08T18:00:20.559Z,sell,1.17e-06,5000.0,0.00585
RCN/BTC,1610128825169,2021-01-08T18:00:25.169Z,sell,1.17e-06,2693.0,0.00315081
RCN/BTC,1610128825169,2021-01-08T18:00:25.169Z,sell,1.16e-06,17672.0,0.020499519999999997
RCN/BTC,1610128825169,2021-01-08T18:00:25.169Z,sell,1.15e-06,14705.0,0.01691075
RCN/BTC,1610128857648,2021-01-08T18:00:57.648Z,buy,1.17e-06,295.0,0.00034515
RCN/BTC,1610128879290,2021-01-08T18:01:19.290Z,buy,1.17e-06,263.0,0.00030771
RCN/BTC,1610128908260,2021-01-08T18:01:48.260Z,sell,1.16e-06,2690.0,0.0031203999999999997
RCN/BTC,1610128937409,2021-01-08T18:02:17.409Z,buy,1.17e-06,265.0,0.00031005000000000003
RCN/BTC,1610128982165,2021-01-08T18:03:02.165Z,buy,1.17e-06,216.0,0.00025272
RCN/BTC,1610128994698,2021-01-08T18:03:14.698Z,buy,1.17e-06,265.0,0.00031005000000000003
RCN/BTC,1610129154599,2021-01-08T18:05:54.599Z,buy,1.17e-06,195.0,0.00022815000000000002
RCN/BTC,1610129201566,2021-01-08T18:06:41.566Z,sell,1.16e-06,19019.0,0.022062039999999998
RCN/BTC,1610129202082,2021-01-08T18:06:42.082Z,sell,1.15e-06,1728.0,0.0019872
RCN/BTC,1610129203115,2021-01-08T18:06:43.115Z,sell,1.15e-06,3995.0,0.00459425
RCN/BTC,1610129232070,2021-01-08T18:07:12.070Z,sell,1.16e-06,87.0,0.00010091999999999999
RCN/BTC,1610129276811,2021-01-08T18:07:56.811Z,sell,1.16e-06,967.0,0.0011217199999999999
RCN/BTC,1610129277134,2021-01-08T18:07:57.134Z,buy,1.17e-06,597.0,0.00069849
RCN/BTC,1610129352181,2021-01-08T18:09:12.181Z,buy,1.17e-06,14723.0,0.01722591
RCN/BTC,1610129352181,2021-01-08T18:09:12.181Z,buy,1.18e-06,44827.0,0.052895859999999996
RCN/BTC,1610129354544,2021-01-08T18:09:14.544Z,sell,1.16e-06,163.0,0.00018907999999999997
RCN/BTC,1610129481037,2021-01-08T18:11:21.037Z,buy,1.18e-06,12488.0,0.014735839999999998
RCN/BTC,1610129502459,2021-01-08T18:11:42.459Z,sell,1.17e-06,1114.0,0.00130338
RCN/BTC,1610129507154,2021-01-08T18:11:47.154Z,sell,1.17e-06,1494.0,0.00174798
RCN/BTC,1610129510056,2021-01-08T18:11:50.056Z,sell,1.17e-06,395.0,0.00046215
RCN/BTC,1610129636570,2021-01-08T18:13:56.570Z,buy,1.18e-06,726.0,0.00085668
RCN/BTC,1610129683854,2021-01-08T18:14:43.854Z,buy,1.18e-06,12489.0,0.014737019999999998
RCN/BTC,1610129726104,2021-01-08T18:15:26.104Z,sell,1.17e-06,5319.0,0.00622323
RCN/BTC,1610129726104,2021-01-08T18:15:26.104Z,sell,1.16e-06,919.0,0.0010660399999999999
RCN/BTC,1610129756394,2021-01-08T18:15:56.394Z,buy,1.18e-06,291.0,0.00034337999999999995
RCN/BTC,1610129804488,2021-01-08T18:16:44.488Z,buy,1.18e-06,6250.0,0.007375
RCN/BTC,1610129821152,2021-01-08T18:17:01.152Z,buy,1.18e-06,1451.0,0.00171218
RCN/BTC,1610129918628,2021-01-08T18:18:38.628Z,buy,1.17e-06,1465.0,0.00171405
RCN/BTC,1610129919832,2021-01-08T18:18:39.832Z,buy,1.17e-06,5000.0,0.00585
RCN/BTC,1610129920092,2021-01-08T18:18:40.092Z,buy,1.18e-06,100.0,0.000118
RCN/BTC,1610129996377,2021-01-08T18:19:56.377Z,buy,1.18e-06,158.0,0.00018643999999999998
RCN/BTC,1610130061326,2021-01-08T18:21:01.326Z,buy,1.18e-06,3289.0,0.0038810199999999998
RCN/BTC,1610130116953,2021-01-08T18:21:56.953Z,buy,1.18e-06,133.0,0.00015694
RCN/BTC,1610130137263,2021-01-08T18:22:17.263Z,buy,1.18e-06,160.0,0.00018879999999999998
RCN/BTC,1610130158005,2021-01-08T18:22:38.005Z,sell,1.17e-06,938.0,0.00109746
RCN/BTC,1610130178987,2021-01-08T18:22:58.987Z,buy,1.18e-06,531.0,0.00062658
RCN/BTC,1610130228684,2021-01-08T18:23:48.684Z,buy,1.18e-06,258.0,0.00030444
RCN/BTC,1610130239129,2021-01-08T18:23:59.129Z,buy,1.18e-06,3200.0,0.003776
RCN/BTC,1610130252644,2021-01-08T18:24:12.644Z,sell,1.17e-06,258.0,0.00030186
RCN/BTC,1610130320001,2021-01-08T18:25:20.001Z,buy,1.18e-06,3529.0,0.00416422
RCN/BTC,1610130354516,2021-01-08T18:25:54.516Z,sell,1.17e-06,5798.0,0.00678366
RCN/BTC,1610130358457,2021-01-08T18:25:58.457Z,buy,1.18e-06,266.0,0.00031388
RCN/BTC,1610130416989,2021-01-08T18:26:56.989Z,buy,1.18e-06,558.0,0.0006584399999999999
RCN/BTC,1610130449876,2021-01-08T18:27:29.876Z,sell,1.17e-06,1034.0,0.00120978
RCN/BTC,1610130474927,2021-01-08T18:27:54.927Z,buy,1.18e-06,186.0,0.00021947999999999998
RCN/BTC,1610130656244,2021-01-08T18:30:56.244Z,buy,1.18e-06,369.0,0.00043541999999999995
RCN/BTC,1610130827892,2021-01-08T18:33:47.892Z,sell,1.17e-06,1700.0,0.001989
RCN/BTC,1610130879260,2021-01-08T18:34:39.260Z,buy,1.18e-06,1269.0,0.00149742
RCN/BTC,1610130955673,2021-01-08T18:35:55.673Z,buy,1.18e-06,675.0,0.0007964999999999999
RCN/BTC,1610130957385,2021-01-08T18:35:57.385Z,sell,1.17e-06,1092.0,0.00127764
RCN/BTC,1610130960754,2021-01-08T18:36:00.754Z,buy,1.18e-06,17190.0,0.0202842
RCN/BTC,1610130961204,2021-01-08T18:36:01.204Z,sell,1.18e-06,3103.0,0.0036615399999999996
RCN/BTC,1610130961204,2021-01-08T18:36:01.204Z,sell,1.17e-06,1089.0,0.00127413
RCN/BTC,1610130961862,2021-01-08T18:36:01.862Z,sell,1.17e-06,4166.0,0.00487422
RCN/BTC,1610131135737,2021-01-08T18:38:55.737Z,buy,1.19e-06,496.0,0.00059024
RCN/BTC,1610131168101,2021-01-08T18:39:28.101Z,sell,1.18e-06,5085.0,0.006000299999999999
RCN/BTC,1610131316090,2021-01-08T18:41:56.090Z,buy,1.19e-06,2694.0,0.00320586
RCN/BTC,1610131398469,2021-01-08T18:43:18.469Z,sell,1.18e-06,7642.0,0.009017559999999999
RCN/BTC,1610131615204,2021-01-08T18:46:55.204Z,buy,1.19e-06,548.0,0.0006521200000000001
RCN/BTC,1610131632962,2021-01-08T18:47:12.962Z,sell,1.17e-06,86.0,0.00010062
RCN/BTC,1610131675971,2021-01-08T18:47:55.971Z,sell,1.18e-06,10000.0,0.0118
RCN/BTC,1610131816895,2021-01-08T18:50:16.895Z,buy,1.19e-06,216.0,0.00025704
RCN/BTC,1610131945742,2021-01-08T18:52:25.742Z,sell,1.18e-06,42.0,4.956e-05
RCN/BTC,1610131945742,2021-01-08T18:52:25.742Z,sell,1.17e-06,2114.0,0.00247338
RCN/BTC,1610131959223,2021-01-08T18:52:39.223Z,buy,1.19e-06,1094.0,0.00130186
RCN/BTC,1610131971812,2021-01-08T18:52:51.812Z,sell,1.17e-06,1093.0,0.00127881
RCN/BTC,1610131991718,2021-01-08T18:53:11.718Z,buy,1.19e-06,500.0,0.000595
RCN/BTC,1610132047670,2021-01-08T18:54:07.670Z,buy,1.18e-06,885.0,0.0010443
RCN/BTC,1610132091326,2021-01-08T18:54:51.326Z,buy,1.18e-06,110.0,0.00012979999999999998
RCN/BTC,1610132093872,2021-01-08T18:54:53.872Z,buy,1.18e-06,1527.0,0.00180186
RCN/BTC,1610132227538,2021-01-08T18:57:07.538Z,buy,1.18e-06,11223.0,0.013243139999999999
RCN/BTC,1610132273578,2021-01-08T18:57:53.578Z,buy,1.19e-06,824.0,0.0009805600000000001
RCN/BTC,1610132334690,2021-01-08T18:58:54.690Z,buy,1.19e-06,1349.0,0.00160531
RCN/BTC,1610132334690,2021-01-08T18:58:54.690Z,buy,1.19e-06,1349.0,0.00160531
RCN/BTC,1610132668891,2021-01-08T19:04:28.891Z,sell,1.18e-06,114.0,0.00013451999999999998
RCN/BTC,1610132745455,2021-01-08T19:05:45.455Z,buy,1.19e-06,3074.0,0.0036580600000000003
RCN/BTC,1610132816279,2021-01-08T19:06:56.279Z,buy,1.19e-06,682.0,0.00081158
RCN/BTC,1610132844037,2021-01-08T19:07:24.037Z,buy,1.19e-06,101.0,0.00012019
RCN/BTC,1610132897742,2021-01-08T19:08:17.742Z,buy,1.19e-06,217.0,0.00025823
RCN/BTC,1610133031996,2021-01-08T19:10:31.996Z,sell,1.18e-06,129.0,0.00015222
RCN/BTC,1610133087104,2021-01-08T19:11:27.104Z,sell,1.18e-06,404.0,0.00047672
RCN/BTC,1610133138399,2021-01-08T19:12:18.399Z,buy,1.19e-06,23723.0,0.02823037
RCN/BTC,1610133138399,2021-01-08T19:12:18.399Z,buy,1.2e-06,19090.0,0.022907999999999998
RCN/BTC,1610133138487,2021-01-08T19:12:18.487Z,buy,1.2e-06,221.0,0.0002652
RCN/BTC,1610133157872,2021-01-08T19:12:37.872Z,sell,1.18e-06,12808.0,0.015113439999999999
RCN/BTC,1610133159806,2021-01-08T19:12:39.806Z,buy,1.19e-06,85.0,0.00010115
RCN/BTC,1610133239467,2021-01-08T19:13:59.467Z,sell,1.18e-06,20273.0,0.023922139999999998
RCN/BTC,1610133243412,2021-01-08T19:14:03.412Z,buy,1.19e-06,5095.0,0.00606305
RCN/BTC,1610133244029,2021-01-08T19:14:04.029Z,sell,1.19e-06,2080.0,0.0024752
RCN/BTC,1610133291492,2021-01-08T19:14:51.492Z,sell,1.19e-06,1042.0,0.0012399800000000001
RCN/BTC,1610133296061,2021-01-08T19:14:56.061Z,buy,1.2e-06,137.0,0.00016439999999999998
RCN/BTC,1610133300691,2021-01-08T19:15:00.691Z,sell,1.19e-06,8492.0,0.01010548
RCN/BTC,1610133318559,2021-01-08T19:15:18.559Z,sell,1.19e-06,160.0,0.00019040000000000002
RCN/BTC,1610133342940,2021-01-08T19:15:42.940Z,sell,1.19e-06,3692.0,0.00439348
RCN/BTC,1610133368622,2021-01-08T19:16:08.622Z,sell,1.19e-06,4434.0,0.00527646
RCN/BTC,1610133375594,2021-01-08T19:16:15.594Z,sell,1.19e-06,1247.0,0.00148393
RCN/BTC,1610133416260,2021-01-08T19:16:56.260Z,buy,1.2e-06,260.0,0.000312
RCN/BTC,1610133418443,2021-01-08T19:16:58.443Z,buy,1.2e-06,2002.0,0.0024024
RCN/BTC,1610133420728,2021-01-08T19:17:00.728Z,buy,1.2e-06,225.0,0.00027
RCN/BTC,1610133494043,2021-01-08T19:18:14.043Z,sell,1.19e-06,225.0,0.00026775000000000003
RCN/BTC,1610133535682,2021-01-08T19:18:55.682Z,buy,1.2e-06,4858.0,0.0058296
RCN/BTC,1610133604962,2021-01-08T19:20:04.962Z,sell,1.19e-06,93.0,0.00011067000000000001
RCN/BTC,1610133893727,2021-01-08T19:24:53.727Z,buy,1.2e-06,261.0,0.00031319999999999997
