symbol,timestamp,datetime,side,price,amount,btc_volume
RDN/BTC,1580389239887,2020-01-30T13:00:39.887Z,sell,1.333e-05,288.0,0.0038390399999999997
RDN/BTC,1580389306759,2020-01-30T13:01:46.759Z,sell,1.333e-05,341.0,0.00454553
RDN/BTC,1580389341341,2020-01-30T13:02:21.341Z,sell,1.333e-05,100.0,0.001333
RDN/BTC,1580389341341,2020-01-30T13:02:21.341Z,sell,1.331e-05,598.0,0.00795938
RDN/BTC,1580389341351,2020-01-30T13:02:21.351Z,buy,1.331e-05,112.0,0.00149072
RDN/BTC,1580389346243,2020-01-30T13:02:26.243Z,sell,1.327e-05,216.0,0.00286632
RDN/BTC,1580389474474,2020-01-30T13:04:34.474Z,sell,1.331e-05,67.0,0.00089177
RDN/BTC,1580389474474,2020-01-30T13:04:34.474Z,sell,1.326e-05,32.0,0.00042432
RDN/BTC,1580389474474,2020-01-30T13:04:34.474Z,sell,1.325e-05,2484.0,0.032913
RDN/BTC,1580389474474,2020-01-30T13:04:34.474Z,sell,1.324e-05,2819.0,0.03732356
RDN/BTC,1580389474474,2020-01-30T13:04:34.474Z,sell,1.323e-05,6799.0,0.08995077
RDN/BTC,1580389474474,2020-01-30T13:04:34.474Z,sell,1.322e-05,4212.0,0.055682640000000005
RDN/BTC,1580389474493,2020-01-30T13:04:34.493Z,buy,1.322e-05,113.0,0.00149386
RDN/BTC,1580389474537,2020-01-30T13:04:34.537Z,buy,1.322e-05,113.0,0.00149386
RDN/BTC,1580389474607,2020-01-30T13:04:34.607Z,buy,1.322e-05,995.0,0.0131539
RDN/BTC,1580389483548,2020-01-30T13:04:43.548Z,sell,1.327e-05,8.0,0.00010616
RDN/BTC,1580389483548,2020-01-30T13:04:43.548Z,sell,1.324e-05,507.0,0.00671268
RDN/BTC,1580389483548,2020-01-30T13:04:43.548Z,sell,1.322e-05,6130.0,0.0810386
RDN/BTC,1580389593169,2020-01-30T13:06:33.169Z,buy,1.329e-05,10.0,0.0001329
RDN/BTC,1580389860129,2020-01-30T13:11:00.129Z,buy,1.327e-05,2.0,2.654e-05
RDN/BTC,1580390035044,2020-01-30T13:13:55.044Z,buy,1.33e-05,9.0,0.0001197
RDN/BTC,1580390141414,2020-01-30T13:15:41.414Z,buy,1.329e-05,552.0,0.00733608
RDN/BTC,1580390141455,2020-01-30T13:15:41.455Z,sell,1.329e-05,203.0,0.0026978699999999998
RDN/BTC,1580390141483,2020-01-30T13:15:41.483Z,sell,1.329e-05,35.0,0.00046515
RDN/BTC,1580390148300,2020-01-30T13:15:48.300Z,sell,1.329e-05,3513.0,0.046687769999999996
RDN/BTC,1580390232367,2020-01-30T13:17:12.367Z,buy,1.338e-05,210.0,0.0028098000000000003
RDN/BTC,1580390381627,2020-01-30T13:19:41.627Z,sell,1.329e-05,74.0,0.00098346
RDN/BTC,1580390466612,2020-01-30T13:21:06.612Z,sell,1.329e-05,299.0,0.00397371
RDN/BTC,1580390565704,2020-01-30T13:22:45.704Z,sell,1.329e-05,69.0,0.00091701
RDN/BTC,1580390655794,2020-01-30T13:24:15.794Z,sell,1.329e-05,135.0,0.00179415
RDN/BTC,1580390843108,2020-01-30T13:27:23.108Z,buy,1.337e-05,2.0,2.674e-05
RDN/BTC,1580391080152,2020-01-30T13:31:20.152Z,sell,1.329e-05,1278.0,0.01698462
RDN/BTC,1580391136527,2020-01-30T13:32:16.527Z,sell,1.329e-05,1278.0,0.01698462
RDN/BTC,1580391146277,2020-01-30T13:32:26.277Z,sell,1.329e-05,1278.0,0.01698462
RDN/BTC,1580391149211,2020-01-30T13:32:29.211Z,sell,1.329e-05,288.0,0.00382752
RDN/BTC,1580391152498,2020-01-30T13:32:32.498Z,sell,1.329e-05,288.0,0.00382752
RDN/BTC,1580391156372,2020-01-30T13:32:36.372Z,sell,1.329e-05,288.0,0.00382752
RDN/BTC,1580391160671,2020-01-30T13:32:40.671Z,sell,1.329e-05,288.0,0.00382752
RDN/BTC,1580391365337,2020-01-30T13:36:05.337Z,sell,1.329e-05,309.0,0.00410661
RDN/BTC,1580391402451,2020-01-30T13:36:42.451Z,sell,1.325e-05,10.0,0.0001325
RDN/BTC,1580391402451,2020-01-30T13:36:42.451Z,sell,1.322e-05,2.0,2.644e-05
RDN/BTC,1580391417846,2020-01-30T13:36:57.846Z,buy,1.325e-05,113.0,0.00149725
RDN/BTC,1580391443235,2020-01-30T13:37:23.235Z,buy,1.325e-05,43.0,0.00056975
RDN/BTC,1580391450847,2020-01-30T13:37:30.847Z,buy,1.325e-05,40.0,0.00053
RDN/BTC,1580391613056,2020-01-30T13:40:13.056Z,buy,1.324e-05,125.0,0.001655
RDN/BTC,1580391615849,2020-01-30T13:40:15.849Z,sell,1.321e-05,288.0,0.0038044800000000003
RDN/BTC,1580391621080,2020-01-30T13:40:21.080Z,sell,1.322e-05,2348.0,0.031040560000000002
RDN/BTC,1580391640669,2020-01-30T13:40:40.669Z,buy,1.324e-05,113.0,0.00149612
RDN/BTC,1580391766583,2020-01-30T13:42:46.583Z,buy,1.324e-05,484.0,0.00640816
RDN/BTC,1580391780602,2020-01-30T13:43:00.602Z,buy,1.324e-05,2.0,2.648e-05
RDN/BTC,1580391799651,2020-01-30T13:43:19.651Z,buy,1.324e-05,101.0,0.00133724
RDN/BTC,1580391808360,2020-01-30T13:43:28.360Z,sell,1.322e-05,319.0,0.00421718
RDN/BTC,1580391819438,2020-01-30T13:43:39.438Z,sell,1.322e-05,514.0,0.00679508
RDN/BTC,1580391819438,2020-01-30T13:43:39.438Z,sell,1.321e-05,2775.0,0.03665775
RDN/BTC,1580391835206,2020-01-30T13:43:55.206Z,sell,1.321e-05,866.0,0.011439860000000001
RDN/BTC,1580391896322,2020-01-30T13:44:56.322Z,sell,1.321e-05,2520.0,0.033289200000000005
RDN/BTC,1580391896328,2020-01-30T13:44:56.328Z,buy,1.322e-05,2.0,2.644e-05
RDN/BTC,1580391900690,2020-01-30T13:45:00.690Z,buy,1.322e-05,285.0,0.0037677
RDN/BTC,1580391900987,2020-01-30T13:45:00.987Z,buy,1.322e-05,1.0,1.322e-05
RDN/BTC,1580391976208,2020-01-30T13:46:16.208Z,sell,1.322e-05,7.0,9.254e-05
RDN/BTC,1580391976208,2020-01-30T13:46:16.208Z,sell,1.32e-05,3881.0,0.0512292
RDN/BTC,1580391976231,2020-01-30T13:46:16.231Z,buy,1.32e-05,100.0,0.00132
RDN/BTC,1580391976261,2020-01-30T13:46:16.261Z,buy,1.32e-05,2301.0,0.030373200000000003
RDN/BTC,1580392038897,2020-01-30T13:47:18.897Z,sell,1.32e-05,81.0,0.0010692
RDN/BTC,1580392038897,2020-01-30T13:47:18.897Z,sell,1.319e-05,83.0,0.0010947700000000001
RDN/BTC,1580392058832,2020-01-30T13:47:38.832Z,sell,1.32e-05,12.0,0.0001584
RDN/BTC,1580392058832,2020-01-30T13:47:38.832Z,sell,1.319e-05,107.0,0.0014113300000000001
RDN/BTC,1580392204802,2020-01-30T13:50:04.802Z,buy,1.323e-05,453.0,0.00599319
RDN/BTC,1580392291588,2020-01-30T13:51:31.588Z,buy,1.323e-05,371.0,0.00490833
RDN/BTC,1580392291588,2020-01-30T13:51:31.588Z,buy,1.324e-05,600.0,0.007944
RDN/BTC,1580392291799,2020-01-30T13:51:31.799Z,buy,1.324e-05,200.0,0.002648
RDN/BTC,1580392426613,2020-01-30T13:53:46.613Z,buy,1.324e-05,18.0,0.00023832
RDN/BTC,1580392426613,2020-01-30T13:53:46.613Z,buy,1.324e-05,18.0,0.00023832
RDN/BTC,1580392875389,2020-01-30T14:01:15.389Z,sell,1.319e-05,91.0,0.0012002900000000001
RDN/BTC,1580392976161,2020-01-30T14:02:56.161Z,sell,1.318e-05,181.0,0.00238558
RDN/BTC,1580393023485,2020-01-30T14:03:43.485Z,sell,1.321e-05,31.0,0.00040951000000000003
RDN/BTC,1580393023485,2020-01-30T14:03:43.485Z,sell,1.318e-05,169.0,0.00222742
RDN/BTC,1580393055306,2020-01-30T14:04:15.306Z,sell,1.319e-05,100.0,0.001319
RDN/BTC,1580393143375,2020-01-30T14:05:43.375Z,buy,1.323e-05,773.0,0.01022679
RDN/BTC,1580393150484,2020-01-30T14:05:50.484Z,buy,1.323e-05,773.0,0.01022679
RDN/BTC,1580393150799,2020-01-30T14:05:50.799Z,buy,1.323e-05,696.0,0.00920808
RDN/BTC,1580393365450,2020-01-30T14:09:25.450Z,buy,1.323e-05,409.0,0.0054110700000000005
RDN/BTC,1580393474436,2020-01-30T14:11:14.436Z,buy,1.323e-05,4000.0,0.05292
RDN/BTC,1580393477972,2020-01-30T14:11:17.972Z,sell,1.318e-05,75.0,0.0009885
RDN/BTC,1580393477972,2020-01-30T14:11:17.972Z,sell,1.313e-05,1392.0,0.01827696
RDN/BTC,1580393480282,2020-01-30T14:11:20.282Z,buy,1.322e-05,288.0,0.00380736
RDN/BTC,1580393493619,2020-01-30T14:11:33.619Z,buy,1.323e-05,134.0,0.00177282
RDN/BTC,1580393493619,2020-01-30T14:11:33.619Z,buy,1.324e-05,8501.0,0.11255324
RDN/BTC,1580393504194,2020-01-30T14:11:44.194Z,sell,1.322e-05,15.0,0.0001983
RDN/BTC,1580393505758,2020-01-30T14:11:45.758Z,sell,1.315e-05,614.0,0.008074099999999999
RDN/BTC,1580393624095,2020-01-30T14:13:44.095Z,buy,1.322e-05,439.0,0.00580358
RDN/BTC,1580393770875,2020-01-30T14:16:10.875Z,buy,1.322e-05,80.0,0.0010576000000000001
RDN/BTC,1580393961786,2020-01-30T14:19:21.786Z,buy,1.322e-05,16.0,0.00021152
RDN/BTC,1580393985179,2020-01-30T14:19:45.179Z,buy,1.324e-05,38.0,0.00050312
RDN/BTC,1580394016325,2020-01-30T14:20:16.325Z,sell,1.314e-05,1278.0,0.01679292
RDN/BTC,1580394018831,2020-01-30T14:20:18.831Z,sell,1.314e-05,11300.0,0.148482
RDN/BTC,1580394491010,2020-01-30T14:28:11.010Z,sell,1.314e-05,9.0,0.00011826
RDN/BTC,1580394529382,2020-01-30T14:28:49.382Z,sell,1.315e-05,1380.0,0.018147
RDN/BTC,1580394532266,2020-01-30T14:28:52.266Z,sell,1.315e-05,288.0,0.0037871999999999997
RDN/BTC,1580394534947,2020-01-30T14:28:54.947Z,sell,1.315e-05,288.0,0.0037871999999999997
RDN/BTC,1580394537817,2020-01-30T14:28:57.817Z,sell,1.315e-05,3649.0,0.047984349999999995
RDN/BTC,1580394545672,2020-01-30T14:29:05.672Z,sell,1.315e-05,1.0,1.315e-05
RDN/BTC,1580394545672,2020-01-30T14:29:05.672Z,sell,1.314e-05,458.0,0.00601812
RDN/BTC,1580394549744,2020-01-30T14:29:09.744Z,sell,1.314e-05,1874.0,0.024624359999999998
RDN/BTC,1580394562863,2020-01-30T14:29:22.863Z,sell,1.314e-05,288.0,0.00378432
RDN/BTC,1580394617221,2020-01-30T14:30:17.221Z,sell,1.316e-05,228.0,0.00300048
RDN/BTC,1580394619714,2020-01-30T14:30:19.714Z,sell,1.316e-05,1049.0,0.013804839999999999
RDN/BTC,1580394764651,2020-01-30T14:32:44.651Z,sell,1.315e-05,357.0,0.00469455
RDN/BTC,1580394786931,2020-01-30T14:33:06.931Z,sell,1.315e-05,669.0,0.008797349999999999
RDN/BTC,1580394786931,2020-01-30T14:33:06.931Z,sell,1.314e-05,1064.0,0.013980959999999999
RDN/BTC,1580395017800,2020-01-30T14:36:57.800Z,buy,1.317e-05,10.0,0.0001317
RDN/BTC,1580395022240,2020-01-30T14:37:02.240Z,sell,1.317e-05,1112.0,0.01464504
RDN/BTC,1580395027938,2020-01-30T14:37:07.938Z,sell,1.317e-05,510.0,0.0067167
RDN/BTC,1580395027938,2020-01-30T14:37:07.938Z,sell,1.314e-05,7886.0,0.10362204
RDN/BTC,1580395052792,2020-01-30T14:37:32.792Z,sell,1.314e-05,1278.0,0.01679292
RDN/BTC,1580395058521,2020-01-30T14:37:38.521Z,sell,1.314e-05,288.0,0.00378432
RDN/BTC,1580395086969,2020-01-30T14:38:06.969Z,sell,1.314e-05,1278.0,0.01679292
