symbol,timestamp,datetime,side,price,amount,btc_volume
STEEM/BTC,1610816401245,2021-01-16T17:00:01.245Z,sell,4.97e-06,290.0,0.0014413
STEEM/BTC,1610816415129,2021-01-16T17:00:15.129Z,sell,4.97e-06,202.0,0.00100394
STEEM/BTC,1610816415131,2021-01-16T17:00:15.131Z,sell,4.97e-06,202.0,0.00100394
STEEM/BTC,1610816426291,2021-01-16T17:00:26.291Z,sell,4.97e-06,404.0,0.00200788
STEEM/BTC,1610816428586,2021-01-16T17:00:28.586Z,sell,4.97e-06,60.0,0.0002982
STEEM/BTC,1610816448031,2021-01-16T17:00:48.031Z,sell,4.97e-06,130.0,0.0006460999999999999
STEEM/BTC,1610816457153,2021-01-16T17:00:57.153Z,sell,4.97e-06,381.0,0.00189357
STEEM/BTC,1610816464158,2021-01-16T17:01:04.158Z,sell,4.97e-06,999.0,0.00496503
STEEM/BTC,1610816477179,2021-01-16T17:01:17.179Z,sell,4.97e-06,2300.0,0.011431
STEEM/BTC,1610816484610,2021-01-16T17:01:24.610Z,sell,4.97e-06,715.0,0.00355355
STEEM/BTC,1610816506159,2021-01-16T17:01:46.159Z,sell,4.97e-06,37.0,0.00018389
STEEM/BTC,1610816645104,2021-01-16T17:04:05.104Z,sell,4.96e-06,499.0,0.00247504
STEEM/BTC,1610816699672,2021-01-16T17:04:59.672Z,sell,4.97e-06,60.0,0.0002982
STEEM/BTC,1610816798690,2021-01-16T17:06:38.690Z,buy,4.97e-06,40.0,0.0001988
STEEM/BTC,1610816839802,2021-01-16T17:07:19.802Z,sell,4.96e-06,3629.0,0.01799984
STEEM/BTC,1610816839802,2021-01-16T17:07:19.802Z,sell,4.95e-06,1871.0,0.009261450000000001
STEEM/BTC,1610816878758,2021-01-16T17:07:58.758Z,sell,4.97e-06,42.0,0.00020873999999999998
STEEM/BTC,1610816969581,2021-01-16T17:09:29.581Z,sell,4.96e-06,1550.0,0.0076879999999999995
