symbol,timestamp,datetime,side,price,amount,btc_volume
VIB/BTC,1630688633855,2021-09-03T17:03:53.855Z,sell,1.32e-06,53879.0,0.07112028000000001
VIB/BTC,1630688709722,2021-09-03T17:05:09.722Z,buy,1.33e-06,1463.0,0.00194579
VIB/BTC,1630688827817,2021-09-03T17:07:07.817Z,buy,1.33e-06,4213.0,0.0056032899999999995
VIB/BTC,1630688832188,2021-09-03T17:07:12.188Z,sell,1.32e-06,9910.0,0.013081200000000001
VIB/BTC,1630688859410,2021-09-03T17:07:39.410Z,buy,1.33e-06,1446.0,0.00192318
VIB/BTC,1630688861718,2021-09-03T17:07:41.718Z,sell,1.32e-06,20000.0,0.0264
VIB/BTC,1630688865822,2021-09-03T17:07:45.822Z,sell,1.32e-06,80.0,0.0001056
VIB/BTC,1630688899853,2021-09-03T17:08:19.853Z,buy,1.33e-06,170.0,0.0002261
VIB/BTC,1630688903183,2021-09-03T17:08:23.183Z,sell,1.32e-06,6000.0,0.00792
VIB/BTC,1630688911809,2021-09-03T17:08:31.809Z,buy,1.33e-06,5554.0,0.00738682
VIB/BTC,1630688911809,2021-09-03T17:08:31.809Z,buy,1.34e-06,410.0,0.0005494
VIB/BTC,1630688973907,2021-09-03T17:09:33.907Z,buy,1.34e-06,374.0,0.0005011600000000001
VIB/BTC,1630689164438,2021-09-03T17:12:44.438Z,buy,1.34e-06,106.0,0.00014204000000000002
VIB/BTC,1630689217478,2021-09-03T17:13:37.478Z,sell,1.32e-06,161.0,0.00021252
VIB/BTC,1630689325427,2021-09-03T17:15:25.427Z,sell,1.32e-06,1000.0,0.00132
VIB/BTC,1630689338072,2021-09-03T17:15:38.072Z,sell,1.32e-06,80.0,0.0001056
VIB/BTC,1630689372748,2021-09-03T17:16:12.748Z,buy,1.34e-06,6277.0,0.00841118
VIB/BTC,1630689418535,2021-09-03T17:16:58.535Z,sell,1.33e-06,42941.0,0.05711153
VIB/BTC,1630689465830,2021-09-03T17:17:45.830Z,sell,1.33e-06,100.0,0.000133
VIB/BTC,1630689546187,2021-09-03T17:19:06.187Z,sell,1.33e-06,6267.0,0.00833511
VIB/BTC,1630689770815,2021-09-03T17:22:50.815Z,sell,1.33e-06,23888.0,0.03177104
VIB/BTC,1630689915656,2021-09-03T17:25:15.656Z,buy,1.34e-06,192.0,0.00025728000000000003
VIB/BTC,1630690020681,2021-09-03T17:27:00.681Z,buy,1.34e-06,100.0,0.000134
VIB/BTC,1630690121812,2021-09-03T17:28:41.812Z,sell,1.33e-06,175.0,0.00023275
VIB/BTC,1630690133987,2021-09-03T17:28:53.987Z,sell,1.33e-06,20976.0,0.02789808
VIB/BTC,1630690208535,2021-09-03T17:30:08.535Z,sell,1.33e-06,452.0,0.00060116
VIB/BTC,1630690211580,2021-09-03T17:30:11.580Z,buy,1.34e-06,1717.0,0.00230078
VIB/BTC,1630690248168,2021-09-03T17:30:48.168Z,buy,1.34e-06,80.0,0.0001072
VIB/BTC,1630690386253,2021-09-03T17:33:06.253Z,sell,1.33e-06,324.0,0.00043092
VIB/BTC,1630690792518,2021-09-03T17:39:52.518Z,sell,1.33e-06,265.0,0.00035245
VIB/BTC,1630690949180,2021-09-03T17:42:29.180Z,buy,1.34e-06,13940.0,0.0186796
VIB/BTC,1630690949180,2021-09-03T17:42:29.180Z,buy,1.35e-06,251834.0,0.3399759
VIB/BTC,1630690949180,2021-09-03T17:42:29.180Z,buy,1.36e-06,260062.0,0.35368432
VIB/BTC,1630690950273,2021-09-03T17:42:30.273Z,buy,1.35e-06,3229.0,0.00435915
VIB/BTC,1630690950310,2021-09-03T17:42:30.310Z,sell,1.35e-06,791.0,0.00106785
VIB/BTC,1630690951061,2021-09-03T17:42:31.061Z,sell,1.35e-06,450.0,0.0006075
VIB/BTC,1630690954109,2021-09-03T17:42:34.109Z,sell,1.34e-06,4918.0,0.0065901200000000005
VIB/BTC,1630690957941,2021-09-03T17:42:37.941Z,sell,1.34e-06,4566.0,0.00611844
VIB/BTC,1630691009210,2021-09-03T17:43:29.210Z,buy,1.35e-06,3572.0,0.0048222
VIB/BTC,1630691019865,2021-09-03T17:43:39.865Z,buy,1.35e-06,623.0,0.00084105
VIB/BTC,1630691060199,2021-09-03T17:44:20.199Z,sell,1.34e-06,546.0,0.0007316400000000001
VIB/BTC,1630691078420,2021-09-03T17:44:38.420Z,buy,1.35e-06,75.0,0.00010125
VIB/BTC,1630691256307,2021-09-03T17:47:36.307Z,sell,1.34e-06,265.0,0.0003551
VIB/BTC,1630691296948,2021-09-03T17:48:16.948Z,buy,1.35e-06,1018.0,0.0013743
VIB/BTC,1630691312400,2021-09-03T17:48:32.400Z,sell,1.35e-06,226.0,0.0003051
VIB/BTC,1630691373843,2021-09-03T17:49:33.843Z,sell,1.35e-06,335.0,0.00045225
VIB/BTC,1630691503294,2021-09-03T17:51:43.294Z,buy,1.36e-06,75.0,0.00010199999999999999
VIB/BTC,1630691556461,2021-09-03T17:52:36.461Z,sell,1.35e-06,79.0,0.00010665
VIB/BTC,1630691780123,2021-09-03T17:56:20.123Z,buy,1.36e-06,75.0,0.00010199999999999999
VIB/BTC,1630691880101,2021-09-03T17:58:00.101Z,buy,1.36e-06,74.0,0.00010064
VIB/BTC,1630691883956,2021-09-03T17:58:03.956Z,sell,1.35e-06,8901.0,0.01201635
VIB/BTC,1630691915459,2021-09-03T17:58:35.459Z,sell,1.34e-06,198.0,0.00026532000000000004
VIB/BTC,1630691920447,2021-09-03T17:58:40.447Z,buy,1.35e-06,149.0,0.00020115
VIB/BTC,1630691926656,2021-09-03T17:58:46.656Z,sell,1.34e-06,697.0,0.00093398
VIB/BTC,1630691926656,2021-09-03T17:58:46.656Z,sell,1.34e-06,697.0,0.00093398
VIB/BTC,1630692004343,2021-09-03T18:00:04.343Z,buy,1.35e-06,7407.0,0.00999945
VIB/BTC,1630692065579,2021-09-03T18:01:05.579Z,sell,1.34e-06,452.0,0.00060568
VIB/BTC,1630692074471,2021-09-03T18:01:14.471Z,sell,1.34e-06,591.0,0.0007919400000000001
VIB/BTC,1630692131209,2021-09-03T18:02:11.209Z,buy,1.35e-06,90.0,0.0001215
VIB/BTC,1630692478019,2021-09-03T18:07:58.019Z,sell,1.34e-06,265.0,0.0003551
VIB/BTC,1630692962068,2021-09-03T18:16:02.068Z,sell,1.34e-06,328.0,0.00043952000000000005
VIB/BTC,1630693311219,2021-09-03T18:21:51.219Z,sell,1.34e-06,156.0,0.00020904000000000002
VIB/BTC,1630693340878,2021-09-03T18:22:20.878Z,sell,1.34e-06,412.0,0.00055208
VIB/BTC,1630693712014,2021-09-03T18:28:32.014Z,buy,1.35e-06,876.0,0.0011826
VIB/BTC,1630693812835,2021-09-03T18:30:12.835Z,sell,1.34e-06,78.0,0.00010452000000000001
VIB/BTC,1630694021849,2021-09-03T18:33:41.849Z,sell,1.34e-06,5666.0,0.007592440000000001
VIB/BTC,1630694105787,2021-09-03T18:35:05.787Z,sell,1.34e-06,1247.0,0.00167098
VIB/BTC,1630694934476,2021-09-03T18:48:54.476Z,sell,1.34e-06,627.0,0.00084018
VIB/BTC,1630694937791,2021-09-03T18:48:57.791Z,sell,1.34e-06,11707.0,0.01568738
VIB/BTC,1630694953480,2021-09-03T18:49:13.480Z,sell,1.34e-06,11074.0,0.01483916
VIB/BTC,1630694958687,2021-09-03T18:49:18.687Z,buy,1.35e-06,2176.0,0.0029376
VIB/BTC,1630694973409,2021-09-03T18:49:33.409Z,buy,1.35e-06,7075.0,0.00955125
VIB/BTC,1630694987787,2021-09-03T18:49:47.787Z,buy,1.35e-06,1179.0,0.00159165
VIB/BTC,1630694987787,2021-09-03T18:49:47.787Z,buy,1.35e-06,1179.0,0.00159165
VIB/BTC,1630695734324,2021-09-03T19:02:14.324Z,buy,1.35e-06,95.0,0.00012825
VIB/BTC,1630695889454,2021-09-03T19:04:49.454Z,buy,1.35e-06,30921.0,0.04174335
VIB/BTC,1630696240774,2021-09-03T19:10:40.774Z,sell,1.35e-06,11628.0,0.0156978
VIB/BTC,1630696562853,2021-09-03T19:16:02.853Z,sell,1.35e-06,781.0,0.00105435
VIB/BTC,1630696838937,2021-09-03T19:20:38.937Z,sell,1.35e-06,433.0,0.00058455
VIB/BTC,1630696955578,2021-09-03T19:22:35.578Z,buy,1.36e-06,38749.0,0.05269864
VIB/BTC,1630696955578,2021-09-03T19:22:35.578Z,buy,1.37e-06,12470.0,0.0170839
VIB/BTC,1630696955578,2021-09-03T19:22:35.578Z,buy,1.37e-06,3388.0,0.00464156
VIB/BTC,1630696955984,2021-09-03T19:22:35.984Z,buy,1.37e-06,164.0,0.00022468
VIB/BTC,1630696957615,2021-09-03T19:22:37.615Z,buy,1.37e-06,74.0,0.00010138
VIB/BTC,1630696973200,2021-09-03T19:22:53.200Z,sell,1.36e-06,160.0,0.00021759999999999998
VIB/BTC,1630696998727,2021-09-03T19:23:18.727Z,buy,1.37e-06,150.0,0.0002055
VIB/BTC,1630697051962,2021-09-03T19:24:11.962Z,sell,1.36e-06,2676.0,0.00363936
VIB/BTC,1630697127308,2021-09-03T19:25:27.308Z,buy,1.37e-06,169578.0,0.23232186
VIB/BTC,1630697130470,2021-09-03T19:25:30.470Z,sell,1.36e-06,722.0,0.0009819199999999998
VIB/BTC,1630697340765,2021-09-03T19:29:00.765Z,buy,1.37e-06,3482.0,0.00477034
VIB/BTC,1630697386511,2021-09-03T19:29:46.511Z,buy,1.37e-06,4176.0,0.00572112
VIB/BTC,1630697393297,2021-09-03T19:29:53.297Z,sell,1.36e-06,1454.0,0.00197744
VIB/BTC,1630697393297,2021-09-03T19:29:53.297Z,sell,1.35e-06,2025.0,0.00273375
VIB/BTC,1630697393799,2021-09-03T19:29:53.799Z,sell,1.35e-06,224.0,0.0003024
VIB/BTC,1630697393855,2021-09-03T19:29:53.855Z,sell,1.35e-06,158.0,0.0002133
VIB/BTC,1630697541187,2021-09-03T19:32:21.187Z,sell,1.36e-06,74.0,0.00010064
VIB/BTC,1630697659573,2021-09-03T19:34:19.573Z,sell,1.36e-06,1000.0,0.0013599999999999999
VIB/BTC,1630697696535,2021-09-03T19:34:56.535Z,sell,1.36e-06,623.0,0.00084728
VIB/BTC,1630697708229,2021-09-03T19:35:08.229Z,buy,1.37e-06,4380.0,0.0060006
VIB/BTC,1630697735848,2021-09-03T19:35:35.848Z,buy,1.37e-06,10225.0,0.01400825
VIB/BTC,1630697970008,2021-09-03T19:39:30.008Z,buy,1.37e-06,74.0,0.00010138
VIB/BTC,1630697972939,2021-09-03T19:39:32.939Z,buy,1.37e-06,3438.0,0.00471006
VIB/BTC,1630698369574,2021-09-03T19:46:09.574Z,buy,1.37e-06,783.0,0.00107271
VIB/BTC,1630698406527,2021-09-03T19:46:46.527Z,buy,1.37e-06,145.0,0.00019865
VIB/BTC,1630698482116,2021-09-03T19:48:02.116Z,buy,1.37e-06,209.0,0.00028633
VIB/BTC,1630698509053,2021-09-03T19:48:29.053Z,buy,1.37e-06,78655.0,0.10775735
VIB/BTC,1630698516622,2021-09-03T19:48:36.622Z,sell,1.36e-06,48657.0,0.06617352
VIB/BTC,1630698525156,2021-09-03T19:48:45.156Z,buy,1.37e-06,48322.0,0.06620114
VIB/BTC,1630698557329,2021-09-03T19:49:17.329Z,buy,1.37e-06,24555.0,0.03364035
VIB/BTC,1630698557329,2021-09-03T19:49:17.329Z,buy,1.37e-06,24555.0,0.03364035
VIB/BTC,1630698653397,2021-09-03T19:50:53.397Z,buy,1.37e-06,146.0,0.00020002
VIB/BTC,1630698657094,2021-09-03T19:50:57.094Z,buy,1.37e-06,9770.0,0.0133849
VIB/BTC,1630698657094,2021-09-03T19:50:57.094Z,buy,1.38e-06,423.0,0.00058374
VIB/BTC,1630698662283,2021-09-03T19:51:02.283Z,sell,1.37e-06,360.0,0.0004932
VIB/BTC,1630698662936,2021-09-03T19:51:02.936Z,sell,1.36e-06,373.0,0.0005072799999999999
VIB/BTC,1630698675716,2021-09-03T19:51:15.716Z,sell,1.37e-06,365.0,0.00050005
VIB/BTC,1630698683040,2021-09-03T19:51:23.040Z,sell,1.36e-06,263.0,0.00035768
VIB/BTC,1630698826593,2021-09-03T19:53:46.593Z,sell,1.36e-06,757.0,0.00102952
VIB/BTC,1630698840208,2021-09-03T19:54:00.208Z,buy,1.37e-06,8.0,1.096e-05
VIB/BTC,1630698840217,2021-09-03T19:54:00.217Z,sell,1.37e-06,157.0,0.00021509
VIB/BTC,1630698990457,2021-09-03T19:56:30.457Z,buy,1.37e-06,277.0,0.00037949
VIB/BTC,1630699020741,2021-09-03T19:57:00.741Z,sell,1.36e-06,765.0,0.0010404
VIB/BTC,1630699216779,2021-09-03T20:00:16.779Z,buy,1.37e-06,9323.0,0.01277251
VIB/BTC,1630699302000,2021-09-03T20:01:42.000Z,sell,1.36e-06,144.0,0.00019584
VIB/BTC,1630699337507,2021-09-03T20:02:17.507Z,buy,1.37e-06,98.0,0.00013426
VIB/BTC,1630699534704,2021-09-03T20:05:34.704Z,buy,1.37e-06,6000.0,0.00822
VIB/BTC,1630699580631,2021-09-03T20:06:20.631Z,sell,1.36e-06,43222.0,0.058781919999999994
VIB/BTC,1630699582971,2021-09-03T20:06:22.971Z,buy,1.37e-06,26766.0,0.03666942
VIB/BTC,1630699628896,2021-09-03T20:07:08.896Z,buy,1.37e-06,616.0,0.00084392
VIB/BTC,1630699725156,2021-09-03T20:08:45.156Z,sell,1.36e-06,2596.0,0.00353056
VIB/BTC,1630700520631,2021-09-03T20:22:00.631Z,buy,1.38e-06,42922.0,0.05923236
VIB/BTC,1630700522070,2021-09-03T20:22:02.070Z,sell,1.37e-06,4370.0,0.0059869
VIB/BTC,1630700530145,2021-09-03T20:22:10.145Z,buy,1.38e-06,74.0,0.00010211999999999999
VIB/BTC,1630700539598,2021-09-03T20:22:19.598Z,sell,1.37e-06,18041.0,0.02471617
VIB/BTC,1630700542749,2021-09-03T20:22:22.749Z,sell,1.37e-06,18041.0,0.02471617
VIB/BTC,1630700726454,2021-09-03T20:25:26.454Z,buy,1.38e-06,4329.0,0.00597402
VIB/BTC,1630700770857,2021-09-03T20:26:10.857Z,sell,1.37e-06,171.0,0.00023427
VIB/BTC,1630700785041,2021-09-03T20:26:25.041Z,sell,1.37e-06,74.0,0.00010138
VIB/BTC,1630700845849,2021-09-03T20:27:25.849Z,sell,1.37e-06,2030.0,0.0027811
VIB/BTC,1630700968564,2021-09-03T20:29:28.564Z,sell,1.37e-06,4207.0,0.00576359
VIB/BTC,1630701219705,2021-09-03T20:33:39.705Z,buy,1.38e-06,41.0,5.658e-05
VIB/BTC,1630701223269,2021-09-03T20:33:43.269Z,sell,1.38e-06,3322.0,0.00458436
VIB/BTC,1630701269989,2021-09-03T20:34:29.989Z,buy,1.39e-06,2159.0,0.00300101
VIB/BTC,1630701270251,2021-09-03T20:34:30.251Z,buy,1.39e-06,162.0,0.00022518
VIB/BTC,1630701279331,2021-09-03T20:34:39.331Z,buy,1.39e-06,63591.0,0.08839149
VIB/BTC,1630701279337,2021-09-03T20:34:39.337Z,sell,1.39e-06,2310.0,0.0032109
VIB/BTC,1630701281860,2021-09-03T20:34:41.860Z,buy,1.4e-06,79.0,0.00011059999999999999
VIB/BTC,1630701282850,2021-09-03T20:34:42.850Z,sell,1.38e-06,783.0,0.0010805399999999998
VIB/BTC,1630701282863,2021-09-03T20:34:42.863Z,sell,1.38e-06,4567.0,0.006302459999999999
VIB/BTC,1630701305637,2021-09-03T20:35:05.637Z,sell,1.38e-06,1526.0,0.00210588
VIB/BTC,1630701310836,2021-09-03T20:35:10.836Z,buy,1.39e-06,86.0,0.00011954
VIB/BTC,1630701330722,2021-09-03T20:35:30.722Z,buy,1.39e-06,549.0,0.00076311
VIB/BTC,1630701346201,2021-09-03T20:35:46.201Z,buy,1.39e-06,184.0,0.00025576
VIB/BTC,1630701387719,2021-09-03T20:36:27.719Z,buy,1.39e-06,423.0,0.00058797
VIB/BTC,1630701387719,2021-09-03T20:36:27.719Z,buy,1.4e-06,1623.0,0.0022722
VIB/BTC,1630701405188,2021-09-03T20:36:45.188Z,buy,1.4e-06,787.0,0.0011018
VIB/BTC,1630701412254,2021-09-03T20:36:52.254Z,buy,1.4e-06,2096.0,0.0029343999999999998
VIB/BTC,1630701452834,2021-09-03T20:37:32.834Z,sell,1.39e-06,360.0,0.0005004
VIB/BTC,1630701454229,2021-09-03T20:37:34.229Z,sell,1.38e-06,4380.0,0.006044399999999999
VIB/BTC,1630701461244,2021-09-03T20:37:41.244Z,buy,1.39e-06,73.0,0.00010147
VIB/BTC,1630701480278,2021-09-03T20:38:00.278Z,buy,1.39e-06,4370.0,0.0060743
VIB/BTC,1630701480278,2021-09-03T20:38:00.278Z,buy,1.4e-06,21692.0,0.030368799999999998
VIB/BTC,1630701482873,2021-09-03T20:38:02.873Z,sell,1.39e-06,10320.0,0.0143448
VIB/BTC,1630701543494,2021-09-03T20:39:03.494Z,sell,1.38e-06,2441.0,0.00336858
VIB/BTC,1630701632519,2021-09-03T20:40:32.519Z,sell,1.38e-06,290.0,0.00040019999999999997
VIB/BTC,1630701822965,2021-09-03T20:43:42.965Z,buy,1.39e-06,339.0,0.00047121
VIB/BTC,1630701834630,2021-09-03T20:43:54.630Z,sell,1.38e-06,27934.0,0.03854892
VIB/BTC,1630701857948,2021-09-03T20:44:17.948Z,buy,1.38e-06,173.0,0.00023873999999999998
VIB/BTC,1630701968099,2021-09-03T20:46:08.099Z,buy,1.39e-06,719.0,0.00099941
VIB/BTC,1630701981149,2021-09-03T20:46:21.149Z,buy,1.39e-06,719.0,0.00099941
VIB/BTC,1630702114667,2021-09-03T20:48:34.667Z,buy,1.39e-06,719.0,0.00099941
VIB/BTC,1630702114667,2021-09-03T20:48:34.667Z,buy,1.39e-06,719.0,0.00099941
VIB/BTC,1630702249410,2021-09-03T20:50:49.410Z,sell,1.38e-06,2917.0,0.00402546
VIB/BTC,1630702265340,2021-09-03T20:51:05.340Z,sell,1.38e-06,2093.0,0.0028883399999999997
VIB/BTC,1630702269364,2021-09-03T20:51:09.364Z,buy,1.39e-06,506.0,0.00070334
VIB/BTC,1630702393441,2021-09-03T20:53:13.441Z,buy,1.39e-06,2306.0,0.00320534
VIB/BTC,1630702409401,2021-09-03T20:53:29.401Z,sell,1.38e-06,2303.0,0.00317814
VIB/BTC,1630702418271,2021-09-03T20:53:38.271Z,sell,1.38e-06,100.0,0.000138
VIB/BTC,1630702426564,2021-09-03T20:53:46.564Z,sell,1.38e-06,100.0,0.000138
VIB/BTC,1630702453413,2021-09-03T20:54:13.413Z,buy,1.39e-06,73.0,0.00010147
VIB/BTC,1630702559721,2021-09-03T20:55:59.721Z,buy,1.39e-06,543.0,0.00075477
VIB/BTC,1630702608035,2021-09-03T20:56:48.035Z,sell,1.38e-06,1000.0,0.00138
VIB/BTC,1630702684334,2021-09-03T20:58:04.334Z,buy,1.39e-06,7422.0,0.01031658
VIB/BTC,1630702684334,2021-09-03T20:58:04.334Z,buy,1.4e-06,16951.0,0.0237314
