symbol,timestamp,datetime,side,price,amount,btc_volume
WABI/BTC,1634050839742,2021-10-12T15:00:39.742Z,sell,4.45e-06,3490.0,0.0155305
WABI/BTC,1634050852540,2021-10-12T15:00:52.540Z,sell,4.45e-06,1878.0,0.0083571
WABI/BTC,1634050891394,2021-10-12T15:01:31.394Z,sell,4.45e-06,250.0,0.0011125
WABI/BTC,1634050891394,2021-10-12T15:01:31.394Z,sell,4.44e-06,302.0,0.00134088
WABI/BTC,1634050897648,2021-10-12T15:01:37.648Z,sell,4.44e-06,70.0,0.00031079999999999997
WABI/BTC,1634051026055,2021-10-12T15:03:46.055Z,sell,4.44e-06,33.0,0.00014652
WABI/BTC,1634051157386,2021-10-12T15:05:57.386Z,sell,4.44e-06,87.0,0.00038627999999999997
WABI/BTC,1634051191812,2021-10-12T15:06:31.812Z,buy,4.46e-06,99.0,0.00044154
WABI/BTC,1634051191812,2021-10-12T15:06:31.812Z,buy,4.47e-06,173.0,0.00077331
WABI/BTC,1634051207470,2021-10-12T15:06:47.470Z,sell,4.45e-06,161.0,0.00071645
WABI/BTC,1634051215647,2021-10-12T15:06:55.647Z,sell,4.44e-06,2668.0,0.01184592
WABI/BTC,1634051230401,2021-10-12T15:07:10.401Z,sell,4.45e-06,289.0,0.00128605
WABI/BTC,1634051403681,2021-10-12T15:10:03.681Z,sell,4.44e-06,150.0,0.0006659999999999999
WABI/BTC,1634051534541,2021-10-12T15:12:14.541Z,sell,4.44e-06,128.0,0.00056832
WABI/BTC,1634051633624,2021-10-12T15:13:53.624Z,sell,4.44e-06,1974.0,0.00876456
WABI/BTC,1634051676503,2021-10-12T15:14:36.503Z,sell,4.44e-06,100.0,0.000444
WABI/BTC,1634052064364,2021-10-12T15:21:04.364Z,buy,4.46e-06,8.0,3.568e-05
WABI/BTC,1634052198555,2021-10-12T15:23:18.555Z,sell,4.44e-06,586.0,0.00260184
WABI/BTC,1634052198555,2021-10-12T15:23:18.555Z,sell,4.43e-06,7160.0,0.0317188
WABI/BTC,1634052337373,2021-10-12T15:25:37.373Z,sell,4.44e-06,88.0,0.00039072
WABI/BTC,1634052431209,2021-10-12T15:27:11.209Z,sell,4.44e-06,1121.0,0.00497724
