symbol,timestamp,datetime,side,price,amount,btc_volume
WPR/BTC,1620406838838,2021-05-07T17:00:38.838Z,buy,8.6e-07,5523.0,0.00474978
WPR/BTC,1620406855905,2021-05-07T17:00:55.905Z,sell,8.5e-07,413.0,0.00035105
WPR/BTC,1620406910046,2021-05-07T17:01:50.046Z,sell,8.5e-07,206.0,0.0001751
WPR/BTC,1620406918505,2021-05-07T17:01:58.505Z,sell,8.5e-07,1167.0,0.0009919500000000001
WPR/BTC,1620406920648,2021-05-07T17:02:00.648Z,sell,8.5e-07,173.0,0.00014705
WPR/BTC,1620406944385,2021-05-07T17:02:24.385Z,buy,8.6e-07,1162.0,0.00099932
WPR/BTC,1620406971076,2021-05-07T17:02:51.076Z,buy,8.6e-07,7076.0,0.006085360000000001
WPR/BTC,1620407005365,2021-05-07T17:03:25.365Z,buy,8.6e-07,151.0,0.00012986
WPR/BTC,1620407020120,2021-05-07T17:03:40.120Z,sell,8.5e-07,1711.0,0.00145435
WPR/BTC,1620407089170,2021-05-07T17:04:49.170Z,buy,8.6e-07,116.0,9.976000000000001e-05
WPR/BTC,1620407155631,2021-05-07T17:05:55.631Z,buy,8.6e-07,54542.0,0.04690612
WPR/BTC,1620407186361,2021-05-07T17:06:26.361Z,buy,8.7e-07,14969.0,0.01302303
WPR/BTC,1620407192743,2021-05-07T17:06:32.743Z,sell,8.6e-07,3748.0,0.0032232800000000002
WPR/BTC,1620407214783,2021-05-07T17:06:54.783Z,buy,8.6e-07,118.0,0.00010148
WPR/BTC,1620407251918,2021-05-07T17:07:31.918Z,sell,8.5e-07,1023.0,0.00086955
WPR/BTC,1620407279410,2021-05-07T17:07:59.410Z,buy,8.6e-07,486.0,0.00041796
WPR/BTC,1620407401948,2021-05-07T17:10:01.948Z,buy,8.6e-07,214.0,0.00018404
WPR/BTC,1620407463229,2021-05-07T17:11:03.229Z,buy,8.6e-07,229.0,0.00019694
WPR/BTC,1620407471977,2021-05-07T17:11:11.977Z,sell,8.5e-07,229.0,0.00019465000000000002
WPR/BTC,1620407502897,2021-05-07T17:11:42.897Z,buy,8.6e-07,2362.0,0.00203132
