Number_of_P&Ds;channel;coin;exchange;pair;timestamp;announced_growth
1;💎🚀 Hit Pump Angels 🚀💎;PIVX;binance;BTC;2021-03-28 17:00;295,36%
2;💎🚀 Hit Pump Angels 🚀💎;PPT;binance;BTC;2021-03-07 17:00;457,85%
3;💎🚀 Hit Pump Angels 🚀💎;MTH;binance;BTC;2021-03-01 17:00;51,11%
4;💎🚀 Hit Pump Angels 🚀💎;BRD;binance;BTC;2021-02-24 17:00;86,36%
5;💎🚀 Hit Pump Angels 🚀💎;RDN;binance;BTC;2021-02-22 17:00;82,46%
6;💎🚀 Hit Pump Angels 🚀💎;NXS;binance;BTC;2021-02-21 17:00;399,75%
7;💎🚀 Hit Pump Angels 🚀💎;PNT;binance;BTC;2021-01-31 21:00;1255,45%
8;💎🚀 Hit Pump Angels 🚀💎;MDA;binance;BTC;2021-01-03 17:00;56,64%
9;💎🚀 Hit Pump Angels 🚀💎;RCN;binance;BTC;2021-01-07 21:00;197,54%
10;💎🚀 Hit Pump Angels 🚀💎;NAS;binance;BTC;2020-05-30 16:00;93,90%
11;💎🚀 Hit Pump Angels 🚀💎;VIA;binance;BTC;2020-05-29 15:59;214%
12;💎🚀 Hit Pump Angels 🚀💎;ONG;binance;BTC;2020-05-26 16:00;111,34%
13;💎🚀 Hit Pump Angels 🚀💎;ARN;binance;BTC;2020-04-07 18:00;29,52%
14;💎🚀 Hit Pump Angels 🚀💎;GRS;binance;BTC;2020-04-02 16:00;48,08%
15;💎🚀 Hit Pump Angels 🚀💎;EDO;binance;BTC;2020-03-26 15:59;49,02%
16;💎🚀 Hit Pump Angels 🚀💎;NULS;binance;BTC;2020-01-30 17:00;9,32%
17;💎🚀 Hit Pump Angels 🚀💎;SKY;binance;BTC;2021-02-03 21:00;2482,15%
18;💎🚀 Hit Pump Angels 🚀💎;FIO;binance;BTC;2021-02-04 17:00;62,10%
19;💎🚀 Hit Pump Angels 🚀💎;CTXC;binance;BTC;2021-03-18 17:00;54,75%
20;💎🚀 Hit Pump Angels 🚀💎;RCN;binance;BTC;2021-01-10 17:00;39,20%
21;💎🚀 Hit Pump Angels 🚀💎;ONG;binance;BTC;2021-01-11 16:00;52,60%
22;💎🚀 Hit Pump Angels 🚀💎;GVT;binance;BTC;2021-01-23 21:00;123,49%
23;💎🚀 Hit Pump Angels 🚀💎;VIB;binance;BTC;2021-02-05 21:00;561,53%
24;💎🚀 Hit Pump Angels 🚀💎;NEBL;binance;BTC;2021-02-13 21:00;128,78%
25;💎🚀 Hit Pump Angels 🚀💎;GVT;binance;BTC;2021-02-20 17:00;82,22%
26;💎🚀 Hit Pump Angels 🚀💎;ONG;binance;BTC;2021-04-12 17:00;16,60%
27;💎🚀 Hit Pump Angels 🚀💎;VIB;binance;BTC;2021-09-05 17:00;104,28%
28;💎🚀 Hit Pump Angels 🚀💎;QSP;binance;BTC;2020-09-10 18:00;44,02%
29;💎🚀 Hit Pump Angels 🚀💎;QLC;binance;BTC;2020-09-06 16:00;60,25%
30;Binance Crypto Pumps;PPT;binance;BTC;2020-06-08 16:06;54,05%
31;Binance Crypto Pumps;OAX;binance;BTC;2021-05-30 17:00;82,64%
32;Binance Crypto Pumps;WABI;binance;BTC;2021-06-20 17:00;108%
33;Binance Crypto Pumps;NAS;binance;BTC;2021-08-22 17:00;157,68%
34;Binance Crypto Pumps;NAS;binance;BTC;2021-01-14 21:00;170,34%
35;Binance Crypto Pumps;IDEX;binance;BTC;2021-04-25 17:00;40%
36;Binance Crypto Pumps;STEEM;binance;BTC;2021-01-18 17:00;16%
37;Binance Crypto Pumps;WPR;binance;BTC;2021-05-09 17:00;35%
38;Binance Crypto Pumps;FIO;binance;BTC;2021-06-13 17:01;36,13%
39;Big Pumps Binance;NEBL;binance;BTC;2021-08-24 15:00;93%
40;Big Pumps Binance;ATM;binance;BTC;2021-09-10 16:00;300%
41;Big Pumps Binance;WABI;binance;BTC;2021-10-14 15:00;85%
42;Big Pumps Binance;MDA;binance;BTC;2021-11-23 15:00;57%
43;[Official]Binance Pump 247 [Annoucement];DREP;binance;USDT;2021-07-25 17:00;52,50%
